cycle_id,symbol,sector,start,end,status,assigned,n_calls,premium,option_pnl_t,stock_pnl_t,costs_t,total_pnl,pnl_pct_nav,assignment_gap_pct,drawdown_while_held_pct
456,TATAMOTORS,Automobile,2024-09-02,2025-10-13,terminated,True,3,34900.25,-38634.75000000002,-359403.4125,5688.155962727025,-403726.31846272707,-0.011919392248337834,-0.06306603773584907,-0.41625132155263556
537,HDFCLIFE,Financial Services,2025-07-01,,open,True,8,153799.36,99899.36,-390609.9999999999,7468.4867201222405,-298179.1267201221,-0.008484788343123778,-0.03141025641025641,-0.27829252150893447
543,JIOFIN,Financial Services,2025-08-04,,open,True,6,110161.89,87131.8900000001,-346202.0000000001,6393.47468406026,-265463.5846840603,-0.007661292536633592,-0.015555555555555434,-0.2773298935827153
216,UPL,Chemicals,2022-05-04,2024-04-01,universe_removal_sale,True,14,151022.95,95707.95000000006,-339928.03,5382.47642802232,-249602.55642802228,-0.009920669251922535,-0.05386075949367086,-0.39541106428523654
484,HINDUNILVR,FMCG,2024-09-30,2024-10-24,stop_loss,False,0,13016.279999999999,-206538.72,0.0,161.92517628040002,-206700.6451762804,-0.006041927208127911,,
476,NESTLEIND,FMCG,2024-09-30,2024-10-24,stop_loss,False,0,19334.22,-200712.78,0.0,169.8305420776,-200882.6105420776,-0.005871864160069973,,
580,HCLTECH,Information Technology,2026-01-30,2026-02-20,stop_loss,False,0,21857.01,-191240.49,0.0,174.23279945734,-191414.72279945732,-0.005273584261892251,,
581,SBIN,Financial Services,2026-02-26,2026-03-27,stop_loss,False,0,13016.25,-189549.45,0.0,156.9312025663,-189706.38120256632,-0.005186734729637177,,
4,HINDALCO,Metals & Mining,2020-01-01,2020-06-25,uncoverable_odd_lot,True,2,19425.0,-21000.00000000004,-164231.54999999993,3582.746395443001,-188814.29639544297,-0.009440172922739297,-0.056341463414634196,-0.54561902300336
606,HINDALCO,Metals & Mining,2026-05-29,2026-06-25,stop_loss,False,0,24092.18,-185274.32000000004,0.0,187.77323166712003,-185462.09323166715,-0.005066120982684878,,
469,MARUTI,Automobile,2024-09-30,2024-10-29,stop_loss,False,0,16365.38,-180357.74,0.0,155.71402968248,-180513.45402968247,-0.005276467078295511,,
503,TRENT,Consumer Services,2025-04-02,2025-04-07,stop_loss,False,0,18997.86,-173420.28000000003,0.0,160.85687874400003,-173581.13687874403,-0.0051765746642149675,,
1,TATASTEEL,Metals & Mining,2020-01-01,2020-06-25,uncoverable_odd_lot,True,3,32538.6,30363.600000000017,-188417.32499999995,3416.8124794125006,-161470.53747941242,-0.008073063453526177,-0.0032222222222222374,-0.43428826217812955
578,INFY,Information Technology,2026-01-30,2026-02-12,stop_loss,False,0,12869.999999999998,-143996.0,0.0,136.13876542399998,-144132.138765424,-0.003970922233722583,,
3,ONGC,Oil Gas & Consumable Fuels,2020-01-01,2020-06-25,uncoverable_odd_lot,True,1,8815.0,-19475.000000000022,-119067.27999999996,2479.3903792168003,-141021.67037921678,-0.00705067878676521,-0.05632653061224491,-0.4809688581314878
