cycle_id,symbol,sector,start,end,status,assigned,n_calls,premium,option_pnl_t,stock_pnl_t,costs_t,total_pnl,pnl_pct_nav,assignment_gap_pct,drawdown_while_held_pct
390,TATAMOTORS,Automobile,2024-09-02,2025-10-13,terminated,True,3,261449.375,-290063.1250000002,-2695525.59375,41994.63003916769,-3027583.348789168,-0.050681077848661896,-0.06306603773584907,-0.41625132155263556
400,BAJAJ-AUTO,Automobile,2024-09-30,2024-10-17,stop_loss,False,0,157694.1,-1352669.0250000001,0.0,919.30331438425,-1353588.3283143844,-0.02233528357177024,,
401,MARUTI,Automobile,2024-09-30,2024-10-29,stop_loss,False,0,114557.65999999999,-1262504.18,0.0,806.79820777736,-1263310.9782077773,-0.020845635521058968,,
501,HINDALCO,Metals & Mining,2026-05-29,2026-06-25,stop_loss,False,0,132506.99,-1019008.7600000001,0.0,820.35277416916,-1019829.1127741693,-0.01704154780746324,,
474,INFY,Information Technology,2026-01-29,2026-02-12,stop_loss,False,0,62361.0,-957268.0,0.0,595.0552536600001,-957863.05525366,-0.016380080758193867,,
477,SBIN,Financial Services,2026-02-26,2026-03-27,stop_loss,False,0,65081.25,-947747.2500000001,0.0,595.8560128315,-948343.1060128316,-0.016176197385993962,,
466,TECHM,Information Technology,2026-01-29,2026-02-19,stop_loss,False,0,72072.0,-936528.0000000001,0.0,603.881251648,-937131.8812516481,-0.016025564209609374,,
481,ADANIPORTS,Services,2026-02-26,2026-03-23,stop_loss,False,0,78360.75,-842417.2499999999,0.0,573.2559912175,-842990.5059912173,-0.014379163757266085,,
220,HINDALCO,Metals & Mining,2022-08-29,2022-09-28,stop_loss,False,0,157846.98,-642776.04,0.0,750.7003132,-643526.7403132,-0.01700450366636873,,
404,BAJAJFINSV,Financial Services,2024-09-30,2024-10-31,put_cash_settled,False,0,131186.25,-630438.75,0.0,549.8078887749999,-630988.557888775,-0.01041181286524424,,
191,INFY,Information Technology,2022-04-04,2022-04-19,stop_loss,False,0,76210.73999999999,-625765.5,0.0,593.9610551284001,-626359.4610551284,-0.01784983691186361,,
498,TMPV,Automobile,2026-05-29,,open,True,0,161731.84,-483228.16000000027,0.0,36490.19820441856,-519718.3582044188,-0.008684597386776266,-0.07315789473684209,
165,TECHM,Information Technology,2022-01-03,2022-01-24,stop_loss,False,0,76196.40000000001,-497598.6,0.0,509.783661412,-498108.383661412,-0.014200928408438332,,
166,WIPRO,Information Technology,2022-01-03,2022-01-21,stop_loss,False,0,65988.0,-488619.36,0.0,485.6848614687999,-489105.0448614688,-0.013944245778856617,,
406,POWERGRID,Power,2024-09-30,,open,True,12,487316.76,3476.760000000242,-447300.0,36238.3769160768,-480061.6169160765,-0.00792139834649397,-0.05647058823529405,-0.2180486284289277
