expiry,symbol,cm_close,future_settle,diff,diff_bps,oi_strikes_between
2020-01-30,ADANIENT,231.5,231.5,0.0,0.0,0
2020-01-30,ADANIPORTS,378.0,378.0,0.0,0.0,0
2020-01-30,APOLLOHOSP,1690.8,1690.7,-0.09999999999990905,-0.5914360066235453,0
2020-01-30,ASIANPAINT,1805.0,1805.0,0.0,0.0,0
2020-01-30,AXISBANK,730.9,730.9,0.0,0.0,0
2020-01-30,BAJAJ-AUTO,3145.5,3145.45,-0.0500000000001819,-0.15895724050288315,0
2020-01-30,BAJAJFINSV,9639.65,9639.45,-0.1999999999989086,-0.20747641252421883,0
2020-01-30,BAJFINANCE,4364.3,4364.25,-0.0500000000001819,-0.11456590976830625,0
2020-01-30,BEL,100.75,100.75,0.0,0.0,0
2020-01-30,BHARTIARTL,489.8,489.8,0.0,0.0,0
2020-01-30,BPCL,469.65,469.65,0.0,0.0,0
2020-01-30,BRITANNIA,3210.7,3210.7,0.0,0.0,0
2020-01-30,CIPLA,451.0,451.0,0.0,0.0,0
2020-01-30,COALINDIA,187.95,187.95,0.0,0.0,0
2020-01-30,DIVISLAB,1959.15,1959.15,0.0,0.0,0
2020-01-30,DRREDDY,3154.85,3154.85,0.0,0.0,0
2020-01-30,EICHERMOT,20340.3,20340.2,-0.09999999999854481,-0.04916348333040556,0
2020-01-30,GAIL,123.35,123.35,0.0,0.0,0
2020-01-30,GRASIM,791.25,791.25,0.0,0.0,0
2020-01-30,HCLTECH,607.85,607.85,0.0,0.0,0
2020-01-30,HDFC,2415.0,2415.0,0.0,0.0,0
2020-01-30,HDFCBANK,1226.05,1226.1,0.049999999999954525,0.40781371069658273,0
2020-01-30,HEROMOTOCO,2482.3,2482.3,0.0,0.0,0
2020-01-30,HINDALCO,193.45,193.45,0.0,0.0,0
2020-01-30,HINDUNILVR,2058.1,2058.1,0.0,0.0,0
2020-01-30,IBULHSGFIN,307.95,307.95,0.0,0.0,0
2020-01-30,ICICIBANK,532.2,532.2,0.0,0.0,0
2020-01-30,INDIGO,1419.2,1419.1,-0.10000000000013642,-0.704622322436136,0
2020-01-30,INDUSINDBK,1231.5,1231.5,0.0,0.0,0
2020-01-30,INFY,780.7,780.7,0.0,0.0,0
2020-01-30,IOC,117.15,117.15,0.0,0.0,0
2020-01-30,ITC,234.05,234.05,0.0,0.0,0
2020-01-30,JSWSTEEL,256.95,256.95,0.0,0.0,0
2020-01-30,KOTAKBANK,1628.25,1628.25,0.0,0.0,0
2020-01-30,LT,1370.2,1370.2,0.0,0.0,0
2020-01-30,M&M,567.85,567.8,-0.05000000000006821,-0.8805142203058591,0
2020-01-30,MARUTI,7020.45,7020.4,-0.0500000000001819,-0.07122050580829135,0
2020-01-30,NESTLEIND,15520.8,15520.5,-0.2999999999992724,-0.1932890057208858,0
2020-01-30,NTPC,113.65,113.65,0.0,0.0,0
2020-01-30,ONGC,115.6,115.6,0.0,0.0,0
2020-01-30,POWERGRID,194.4,194.4,0.0,0.0,0
2020-01-30,RELIANCE,1443.75,1443.7,-0.049999999999954525,-0.34632034632003134,0
2020-01-30,SBIN,310.7,310.7,0.0,0.0,0
2020-01-30,SHREECEM,23485.3,23485.5,0.2000000000007276,0.08515965305988325,0
2020-01-30,SUNPHARMA,442.1,442.1,0.0,0.0,0
2020-01-30,TATACONSUM,381.6,381.55,-0.05000000000001137,-1.310272536687929,0
2020-01-30,TATAMOTORS,186.2,186.2,0.0,0.0,0
2020-01-30,TATASTEEL,448.55,448.55,0.0,0.0,0
2020-01-30,TCS,2137.85,2137.85,0.0,0.0,0
2020-01-30,TECHM,791.35,791.35,0.0,0.0,0
2020-01-30,TITAN,1179.25,1179.25,0.0,0.0,0
2020-01-30,ULTRACEMCO,4486.0,4485.9,-0.1000000000003638,-0.22291573785190325,0
2020-01-30,UPL,544.15,544.15,0.0,0.0,0
2020-01-30,VEDL,140.95,140.95,0.0,0.0,0
2020-01-30,WIPRO,240.7,240.7,0.0,0.0,0
2020-01-30,YESBANK,39.05,39.05,0.0,0.0,0
2020-01-30,ZEEL,267.85,267.85,0.0,0.0,0
2020-02-27,ADANIENT,234.15,234.15,0.0,0.0,0
2020-02-27,ADANIPORTS,353.7,353.7,0.0,0.0,0
2020-02-27,APOLLOHOSP,1795.4,1795.45,0.049999999999954525,0.2784894730976636,0
2020-02-27,ASIANPAINT,1843.8,1843.8,0.0,0.0,0
2020-02-27,AXISBANK,735.85,735.85,0.0,0.0,0
2020-02-27,BAJAJ-AUTO,2936.6,2936.6,0.0,0.0,0
2020-02-27,BAJAJFINSV,9408.0,9408.0,0.0,0.0,0
2020-02-27,BAJFINANCE,4759.8,4759.85,0.0500000000001819,0.105046430522673,0
2020-02-27,BEL,77.45,77.45,0.0,0.0,0
2020-02-27,BHARTIARTL,531.65,531.65,0.0,0.0,0
2020-02-27,BPCL,444.05,444.05,0.0,0.0,0
2020-02-27,BRITANNIA,3026.05,3026.25,0.1999999999998181,0.6609276119027051,0
2020-02-27,CIPLA,421.2,421.2,0.0,0.0,0
2020-02-27,COALINDIA,174.1,174.1,0.0,0.0,0
2020-02-27,DIVISLAB,2156.55,2156.65,0.09999999999990905,0.46370360065803734,0
2020-02-27,DRREDDY,3067.05,3067.05,0.0,0.0,0
2020-02-27,EICHERMOT,17053.4,17053.4,0.0,0.0,0
2020-02-27,GAIL,107.35,107.35,0.0,0.0,0
2020-02-27,GRASIM,712.85,712.85,0.0,0.0,0
2020-02-27,HCLTECH,573.05,573.15,0.10000000000002274,1.7450484250941931,0
2020-02-27,HDFC,2272.2,2272.25,0.0500000000001819,0.22005105184482837,0
2020-02-27,HDFCBANK,1199.45,1199.45,0.0,0.0,0
2020-02-27,HEROMOTOCO,2110.25,2110.25,0.0,0.0,0
2020-02-27,HINDALCO,168.35,168.35,0.0,0.0,0
