date,ranked_L1,ranked_L2,ranked_L3,ranked_L4,ranked_L5,NIFTY 50 TRI B&H,Equal-weight top-20
2019-12-31,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0
2020-01-01,20001148.065903638,19999721.15825476,19997583.38330301,19996156.47565414,19994379.585222892,20023153.868405923,19994280.15623962
2020-01-02,20018914.17189529,20033192.508789763,20056513.18145201,20070791.51834649,20090271.690244198,20186964.266682904,20125156.822458684
2020-01-03,20016080.66523201,20025714.247398965,20041493.36884966,20051126.95101662,20065514.186225146,20095672.2058715,20082721.30731403
2020-01-06,20000561.307438917,19984835.627611026,19963540.09895091,19947814.419123024,19933697.847209983,19711741.95089787,19932829.98929154
2020-01-07,20012529.35053288,20009833.91889472,20004446.843721997,20001751.41208384,20002316.90741,19810236.65666104,19971821.575649068
2020-01-08,20009922.781241216,20006257.59852243,19997878.978012364,19994213.795293584,19993886.358841483,19764807.291184783,19943710.43617604
2020-01-09,20026976.599617817,20035466.666548148,20048246.50187617,20056736.568806507,20071791.201558825,20077987.6629818,20041403.548672505
2020-01-10,20034495.805716578,20047366.12302587,20067154.415367577,20080024.732676875,20100511.435616422,20145247.484051708,20065813.67268121
2020-01-13,20046734.58734105,20062170.657977074,20086034.324887093,20101470.39552312,20126028.311973207,20264846.525104437,20100821.390018553
2020-01-14,20054845.344705805,20076361.66864088,20109233.797268096,20130750.121203177,20162740.1117727,20318626.27407762,20145216.280600276
2020-01-15,20059281.49006229,20082653.068026774,20119233.659547597,20142605.23751208,20176377.303184543,20287449.947473392,20161172.42113726
2020-01-16,20059438.02346445,20081114.856188793,20113253.9117798,20134930.744504143,20167234.886263173,20307441.67907122,20090617.857491195
2020-01-17,20064364.94496623,20086047.03318099,20119594.55401892,20141276.642233677,20174112.861063045,20302323.702089235,20068317.255467676
2020-01-20,20065811.873932317,20086934.730810296,20119357.650919687,20140480.507797666,20173062.960789766,20092252.413471643,20001860.82032701
2020-01-21,20067375.348210312,20083878.46350164,20108109.853566047,20124612.968857374,20150927.50285585,20002354.035179354,19925073.501343947
2020-01-22,20049714.210857764,20065447.585293505,20088137.44649048,20103870.820926223,20129867.436915528,19898835.045376662,19856023.18419011
