sector,total_pnl,premium,capital_days_share,cycles,assignment_rate
Financial Services,2321749.75188497,3552617.315,0.24253092057158432,126,0.25396825396825395
Healthcare,1448534.5996926124,1367771.495,0.11640657688080386,55,0.21818181818181817
Metals & Mining,1431421.3929678611,2284860.4766,0.11571002405944715,71,0.28169014084507044
Automobile,1088886.34707861,2021253.265,0.1129908003895495,84,0.20238095238095238
Oil Gas & Consumable Fuels,1119371.5928796777,1461451.9679999999,0.0903131710005458,39,0.358974358974359
Information Technology,-217992.2669465083,748911.675,0.05859283370411977,55,0.07272727272727272
Power,82249.31754331404,367885.28,0.055769130867939984,22,0.09090909090909091
Consumer Durables,619072.1935306325,584558.7825,0.03958679622687763,24,0.2916666666666667
Construction Materials,525531.400234094,504564.4826,0.03581412961751161,30,0.2
FMCG,-61209.828812427135,403140.7136,0.03509176066406428,35,0.08571428571428572
Telecommunication,331623.02469191275,300165.7199,0.02597285210671604,20,0.15
Services,262297.7632883613,444673.9175,0.022304501611760227,18,0.16666666666666666
Chemicals,-67226.05965544726,321823.44999999995,0.02219655961829864,5,0.4
Capital Goods,269586.27268745244,234791.5475,0.018677758765448218,18,0.16666666666666666
Consumer Services,-98753.91999366728,242986.25,0.008042183915332918,8,0.0
