sector,total_pnl,premium,capital_days_share,cycles,assignment_rate
Financial Services,9408579.141011331,13432643.77,0.2352052939579973,106,0.18867924528301888
Automobile,2621532.242880447,9506228.335,0.14369903570902645,71,0.22535211267605634
Metals & Mining,6941664.820714871,9844609.7896,0.12782304965714658,60,0.25
Healthcare,4046975.005116971,4283443.8525,0.10304367295924732,42,0.19047619047619047
Oil Gas & Consumable Fuels,3694652.312291784,5784625.349,0.09440110229084442,37,0.32432432432432434
Information Technology,-1566606.7909870662,3154352.47,0.06645743141671076,48,0.08333333333333333
Power,350970.31911608874,1393064.16,0.05279533388036424,17,0.11764705882352941
Consumer Durables,1742628.5583231489,1947099.165,0.03834001132466729,19,0.3684210526315789
FMCG,1093215.3390184615,1486017.0948,0.03404313668183157,28,0.07142857142857142
Construction Materials,1765323.8360238387,1991559.5903,0.0334465341342911,24,0.08333333333333333
Telecommunication,818189.8451416555,1067478.9199,0.02622750388982483,16,0.125
Services,553481.61180482,1678631.3925,0.020538519046672664,16,0.125
Capital Goods,653449.4441605951,672092.4925,0.013293834776123312,11,0.18181818181818182
Consumer Services,753224.829404721,754640.735,0.006946135083673201,5,0.0
Chemicals,551315.3598669318,787483.45,0.003739405191578951,5,0.2
