date,ranked_L1,ranked_L2,ranked_L3,ranked_L4,ranked_L5,NIFTY 50 TRI B&H,Equal-weight top-20
2019-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01,0.0,-1.3942087261908931e-05,-0.00012083083484959456,-0.00019217621729294976,-0.0002810207388553865,0.0,-0.00028599218801894644
2020-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03,-0.00014154147617351232,-0.0003732935420810435,-0.0007488745659059992,-0.00097976043007042,-0.0012323130518475667,-0.004522327359645417,-0.0021085805948750647
2020-01-06,-0.0009167762196683471,-0.0024138379919984576,-0.0046355556252458685,-0.00612716738704866,-0.007793515461030243,-0.02354104904070964,-0.00955653835961745
2020-01-07,-0.0003189394443469107,-0.0011659943808154383,-0.0025959815277444287,-0.003439829774502856,-0.004377978764563362,-0.018661924846403166,-0.0076190833275148195
2020-01-08,-0.00044914477263202635,-0.0013445141235235436,-0.0029234495003782612,-0.00381538132080661,-0.00479761214227481,-0.020912355613313283,-0.009015899249051329
2020-01-09,0.0,0.0,-0.0004121693287885142,-0.0007002688223398668,-0.0009198725119455853,-0.005398365116292436,-0.004161620926735554
2020-01-10,0.0,0.0,0.0,0.0,0.0,-0.002066520853759357,-0.002948704961705073
2020-01-13,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012092046116617405
2020-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-15,0.0,0.0,0.0,0.0,0.0,-0.0015343717721706396,0.0
2020-01-16,0.0,-7.659405521620588e-05,-0.00029721548389893826,-0.0003810079638381092,-0.0004531247995608334,-0.000550460196251934,-0.0034995268217682396
2020-01-17,0.0,0.0,0.0,-6.595945572773765e-05,-0.00011223234416524175,-0.000802346170871937,-0.004605643150605299
2020-01-20,0.0,0.0,-1.1774745191539537e-05,-0.00010548435464841077,-0.0001642684583547105,-0.011141199092518539,-0.007901901609810302
2020-01-21,0.0,-0.00015215200077134394,-0.000570821664523935,-0.0008932443664834144,-0.001261366198017977,-0.015565630994540447,-0.011710574904154947
2020-01-22,-0.0008800920422372682,-0.0010697075389921595,-0.0015635060360673636,-0.0019230092696114198,-0.0023051643796170307,-0.020660413899955654,-0.015135490663589879
2020-01-23,-0.0002158671080036978,-0.00011338885702727453,-0.0001112907253499884,-0.00018052150705605285,-0.00019971574186450347,-0.01461226851851849,-0.013357756885562067
2020-01-24,0.0,0.0,0.0,0.0,0.0,-0.009047721152427246,-0.011095304824688235
2020-01-27,-0.0008904618492550087,-0.0021521284760748216,-0.004408024225837415,-0.005660774160280657,-0.007028196311688051,-0.01950646488121588,-0.019332420643895287
2020-01-28,-0.0019739065163570935,-0.004696503964475851,-0.00899733473858888,-0.01170144623634306,-0.014849470080565141,-0.02461853972996919,-0.02534496798268837
2020-01-29,-0.0009548356238815447,-0.003014375001321068,-0.0061141998559702815,-0.008159959942979023,-0.010304965685538181,-0.01865570126899807,-0.02279428182212595
