expiry,members,ranked,above_threshold,selected,held_at_decision,selected_already_held,open_slots,evaluated,put_orders,skipped_no_liquid_strike,skipped_distance_cap,skipped_lot_too_large,skipped_margin_or_cash,skipped_not_fo_listed,skipped_lot_unresolved,skipped_termination,skipped_left_index,skipped_other,entry_deferred_days,deferred_reason,entries_blocked,new_puts_filled,names_held_before_next_expiry
2025-03-27,50,50,26,20,11,2,9,0,0,0,0,0,0,0,0,0,0,0,3,cash_liquidity|uncovered_assigned_shares_calls_pending,True,0,11
2025-04-24,50,50,34,20,10,3,10,0,0,0,0,0,0,0,0,0,0,0,2,cash_liquidity|uncovered_assigned_shares_calls_pending,True,0,10
2025-05-29,50,50,14,14,9,1,11,0,0,0,0,0,0,0,0,0,0,0,2,cash_liquidity|uncovered_assigned_shares_calls_pending,True,0,9
2025-06-26,50,50,21,20,7,1,13,0,0,0,0,0,0,0,0,0,0,0,2,cash_liquidity|uncovered_assigned_shares_calls_pending,True,0,7
2025-07-31,50,50,3,3,7,0,13,0,0,0,0,0,0,0,0,0,0,0,2,cash_liquidity|uncovered_assigned_shares_calls_pending,True,0,7
2025-08-28,50,50,3,3,6,0,14,0,0,0,0,0,0,0,0,0,0,0,2,cash_liquidity|uncovered_assigned_shares_calls_pending,True,0,6
2025-09-30,50,50,3,3,5,0,15,3,0,0,0,0,3,0,0,0,0,0,1,uncovered_assigned_shares_calls_pending,False,0,4
2025-10-28,51,50,13,13,4,0,16,13,4,0,0,0,9,0,0,0,0,0,1,uncovered_assigned_shares_calls_pending,False,4,8
2025-11-25,50,50,5,5,6,0,14,0,0,0,0,0,0,0,0,0,0,0,2,cash_liquidity|uncovered_assigned_shares_calls_pending,True,0,6
2025-12-30,51,50,4,4,4,1,16,3,3,0,0,0,0,0,0,0,0,0,1,uncovered_assigned_shares_calls_pending,False,3,7
2026-01-27,51,50,12,12,4,0,16,12,4,0,0,0,8,0,0,0,0,0,0,,False,4,8
2026-02-24,50,50,10,10,5,1,15,0,0,0,0,0,0,0,0,0,0,0,2,cash_liquidity|uncovered_assigned_shares_calls_pending,True,0,5
2026-03-30,50,50,1,1,5,0,15,0,0,0,0,0,0,0,0,0,0,0,2,cash_liquidity|uncovered_assigned_shares_calls_pending,True,0,5
2026-04-28,50,50,16,16,4,0,16,16,5,0,0,0,11,0,0,0,0,0,1,uncovered_assigned_shares_calls_pending,False,5,9
2026-05-26,50,50,9,9,4,2,16,7,6,0,0,0,1,0,0,0,0,0,2,uncovered_assigned_shares_calls_pending,False,6,10
2026-06-30,50,50,12,12,6,0,14,0,0,0,0,0,0,0,0,0,0,0,1,uncovered_assigned_shares_calls_pending,True,0,6
