expiry,members,ranked,above_threshold,selected,held_at_decision,selected_already_held,open_slots,evaluated,put_orders,skipped_no_liquid_strike,skipped_distance_cap,skipped_lot_too_large,skipped_margin_or_cash,skipped_not_fo_listed,skipped_lot_unresolved,skipped_termination,skipped_left_index,skipped_other,entry_deferred_days,deferred_reason,entries_blocked,new_puts_filled,names_held_before_next_expiry
2019-12-26,50,47,5,5,0,0,20,5,4,0,1,0,0,0,0,0,0,0,0,,False,4,4
2020-01-30,50,47,2,2,2,0,18,2,1,1,0,0,0,0,0,0,0,0,2,uncovered_assigned_shares_calls_pending,False,1,3
2020-02-27,50,47,0,0,2,0,18,0,0,0,0,0,0,0,0,0,0,0,1,uncovered_assigned_shares_calls_pending,False,0,2
2020-03-26,50,47,4,4,2,0,18,4,0,1,3,0,0,0,0,0,0,0,0,,False,0,2
2020-04-30,50,47,36,20,2,2,18,18,8,3,7,0,0,0,0,0,0,0,0,,False,8,10
2020-05-28,50,47,33,20,3,1,17,19,10,2,7,0,0,0,0,0,0,0,0,,False,10,13
2020-06-25,50,47,15,15,3,0,17,15,9,2,4,0,0,0,0,0,0,0,0,,False,9,12
2020-07-30,50,47,16,16,3,0,17,16,11,0,5,0,0,0,0,0,0,0,0,,False,11,13
2020-08-27,50,47,22,20,3,1,17,19,15,1,3,0,0,0,0,0,0,0,0,,False,15,17
2020-09-24,50,47,1,1,15,0,5,0,0,0,0,0,0,0,0,0,0,0,5,cash_liquidity|uncovered_assigned_shares_calls_pending,True,0,15
2020-10-29,50,49,7,7,8,0,12,0,0,0,0,0,0,0,0,0,0,0,3,cash_liquidity|uncovered_assigned_shares_calls_pending,True,0,8
2020-11-26,50,49,32,20,2,2,18,18,10,2,6,0,0,0,0,0,0,0,0,,False,10,11
2020-12-31,50,49,24,20,1,0,19,20,15,1,4,0,0,0,0,0,0,0,0,,False,15,16
2021-01-28,50,49,6,6,4,0,16,6,5,0,1,0,0,0,0,0,0,0,2,uncovered_assigned_shares_calls_pending,False,5,9
2021-02-25,50,49,22,20,3,1,17,19,13,0,1,0,5,0,0,0,0,0,2,uncovered_assigned_shares_calls_pending,False,13,16
2021-03-25,50,49,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,3,cash_liquidity|uncovered_assigned_shares_calls_pending,False,0,7
2021-04-29,50,49,12,12,6,1,14,0,0,0,0,0,0,0,0,0,0,0,3,cash_liquidity|uncovered_assigned_shares_calls_pending,True,0,6
2021-05-27,50,49,26,20,2,0,18,20,15,2,3,0,0,0,0,0,0,0,1,uncovered_assigned_shares_calls_pending,False,15,17
2021-06-24,50,49,12,12,3,0,17,12,9,0,3,0,0,0,0,0,0,0,1,uncovered_assigned_shares_calls_pending,False,9,11
2021-07-29,50,49,13,13,5,0,15,0,0,0,0,0,0,0,0,0,0,0,2,cash_liquidity|uncovered_assigned_shares_calls_pending,True,0,5
2021-08-26,50,49,13,13,4,1,16,12,4,0,1,0,7,0,0,0,0,0,1,uncovered_assigned_shares_calls_pending,False,4,8
2021-09-30,50,49,14,14,2,0,18,14,10,0,4,0,0,0,0,0,0,0,1,uncovered_assigned_shares_calls_pending,False,10,12
2021-10-28,50,49,2,2,2,0,18,2,1,0,1,0,0,0,0,0,0,0,1,uncovered_assigned_shares_calls_pending,False,1,3
2021-11-25,50,49,3,3,3,0,17,3,3,0,0,0,0,0,0,0,0,0,1,uncovered_assigned_shares_calls_pending,False,3,6
2021-12-30,50,49,11,11,4,0,16,11,5,0,2,0,4,0,0,0,0,0,1,uncovered_assigned_shares_calls_pending,False,5,9
2022-01-27,50,49,7,7,7,0,13,0,0,0,0,0,0,0,0,0,0,0,2,cash_liquidity|uncovered_assigned_shares_calls_pending,True,0,7
2022-02-24,50,49,0,0,7,0,13,0,0,0,0,0,0,0,0,0,0,0,2,cash_liquidity|uncovered_assigned_shares_calls_pending,False,0,7
2022-03-31,50,49,13,13,6,1,14,0,0,0,0,0,0,0,0,0,0,0,2,cash_liquidity|uncovered_assigned_shares_calls_pending,True,0,5
2022-04-28,50,49,12,12,5,1,15,0,0,0,0,0,0,0,0,0,0,0,2,cash_liquidity|uncovered_assigned_shares_calls_pending,True,0,5
2022-05-26,50,49,14,14,5,2,15,0,0,0,0,0,0,0,0,0,0,0,1,cash_liquidity,True,0,5
2022-06-30,50,49,3,3,5,0,15,0,0,0,0,0,0,0,0,0,0,0,1,cash_liquidity,True,0,5
2022-07-28,50,49,31,20,5,0,15,0,0,0,0,0,0,0,0,0,0,0,1,cash_liquidity,True,0,5
2022-08-25,50,49,7,7,5,0,15,0,0,0,0,0,0,0,0,0,0,0,2,cash_liquidity|uncovered_assigned_shares_calls_pending,True,0,5
2022-09-29,50,49,5,5,5,1,15,0,0,0,0,0,0,0,0,0,0,0,1,cash_liquidity,True,0,5
2022-10-27,50,49,21,20,5,3,15,0,0,0,0,0,0,0,0,0,0,0,1,cash_liquidity,True,0,5
2022-11-24,50,49,18,18,5,3,15,0,0,0,0,0,0,0,0,0,0,0,3,cash_liquidity|uncovered_assigned_shares_calls_pending,True,0,5
2022-12-29,50,49,6,6,5,0,15,0,0,0,0,0,0,0,0,0,0,0,1,cash_liquidity,True,0,5
2023-01-25,50,49,4,4,5,0,15,0,0,0,0,0,0,0,0,0,0,0,1,cash_liquidity,True,0,5
2023-02-23,50,49,3,3,5,1,15,0,0,0,0,0,0,0,0,0,0,0,2,cash_liquidity|uncovered_assigned_shares_calls_pending,True,0,5
2023-03-29,50,49,4,4,5,1,15,0,0,0,0,0,0,0,0,0,0,0,2,cash_liquidity|uncovered_assigned_shares_calls_pending,True,0,5
2023-04-27,50,49,23,20,4,0,16,20,5,0,3,0,12,0,0,0,0,0,0,,False,5,9
2023-05-25,50,49,13,13,4,2,16,11,4,0,2,0,5,0,0,0,0,0,0,,False,4,8
2023-06-28,50,49,18,18,4,1,16,17,5,0,1,0,11,0,0,0,0,0,1,uncovered_assigned_shares_calls_pending,False,5,9
2023-07-27,51,49,11,11,4,0,16,11,5,0,0,0,6,0,0,0,0,0,1,uncovered_assigned_shares_calls_pending,False,5,9
2023-08-31,51,49,3,3,4,0,16,3,3,0,0,0,0,0,0,0,0,0,1,uncovered_assigned_shares_calls_pending,False,3,7
2023-09-28,50,49,3,3,4,0,16,3,3,0,0,0,0,0,0,0,0,0,1,uncovered_assigned_shares_calls_pending,False,3,7
2023-10-26,50,49,0,0,4,0,16,0,0,0,0,0,0,0,0,0,0,0,1,uncovered_assigned_shares_calls_pending,False,0,4
2023-11-30,50,49,29,20,3,1,17,19,13,0,1,0,5,0,0,0,0,0,1,uncovered_assigned_shares_calls_pending,False,13,16
2023-12-28,50,49,37,20,3,1,17,19,11,0,2,0,6,0,0,0,0,0,0,,False,11,14
2024-01-25,50,49,11,11,6,0,14,0,0,0,0,0,0,0,0,0,0,0,2,cash_liquidity|uncovered_assigned_shares_calls_pending,True,0,6
2024-02-29,50,49,11,11,5,0,15,11,1,0,2,0,8,0,0,0,0,0,1,uncovered_assigned_shares_calls_pending,False,1,6
2024-03-28,50,49,19,19,5,2,15,17,1,1,1,0,14,0,0,0,0,0,1,uncovered_assigned_shares_calls_pending,False,1,6
2024-04-25,50,49,18,18,2,0,18,18,15,0,2,0,1,0,0,0,0,0,0,,False,15,17
2024-05-30,50,49,5,5,3,0,17,5,4,0,1,0,0,0,0,0,0,0,1,uncovered_assigned_shares_calls_pending,False,4,7
2024-06-27,50,49,21,20,2,2,18,18,15,0,0,0,3,0,0,0,0,0,0,,False,15,17
2024-07-25,50,49,14,14,5,1,15,13,4,0,0,0,9,0,0,0,0,0,2,uncovered_assigned_shares_calls_pending,False,4,9
2024-08-29,50,49,16,16,2,1,18,15,14,0,0,0,1,0,0,0,0,0,1,uncovered_assigned_shares_calls_pending,False,14,16
2024-09-26,50,49,25,20,2,0,18,20,13,0,0,0,7,0,0,0,0,0,1,uncovered_assigned_shares_calls_pending,False,13,15
2024-10-31,50,50,3,3,14,0,6,0,0,0,0,0,0,0,0,0,0,0,3,cash_liquidity|uncovered_assigned_shares_calls_pending,True,0,14
2024-11-28,50,50,1,1,14,0,6,0,0,0,0,0,0,0,0,0,0,0,2,cash_liquidity|uncovered_assigned_shares_calls_pending,True,0,14
2024-12-26,50,50,3,3,14,0,6,0,0,0,0,0,0,0,0,0,0,0,2,cash_liquidity|uncovered_assigned_shares_calls_pending,True,0,14
2025-01-30,51,50,9,9,13,2,7,0,0,0,0,0,0,0,0,0,0,0,3,cash_liquidity|uncovered_assigned_shares_calls_pending,True,0,13
2025-02-27,50,50,6,6,12,4,8,0,0,0,0,0,0,0,0,0,0,0,2,cash_liquidity|uncovered_assigned_shares_calls_pending,True,0,12
