cycle_id,symbol,assign_date,put_strike,assign_fsp,assignment_gap_pct,drawdown_while_held_pct,status,duration_days,total_pnl
371,BAJAJ-AUTO,2024-10-31,12000.0,9836.3,-0.1803083333333334,-0.2571597043603794,open,638,-2092259.3531179512
454,TECHM,2026-02-24,1640.0,1345.4,-0.17963414634146335,-0.010182845250483186,open,153,-1593107.0510427118
464,HCLTECH,2026-02-24,1620.0,1339.2,-0.17333333333333334,-0.1996714456391876,open,153,-3800623.476799924
164,TECHM,2022-01-27,1700.0,1445.6,-0.14964705882352947,-0.33242252351964585,completed,969,477267.3029980783
426,TRENT,2025-07-31,3866.6666666666665,3345.3333333333335,-0.1348275862068965,-0.3432044639298525,open,368,-1403290.1326442508
181,ADANIPORTS,2022-05-26,810.0,701.5,-0.13395061728395063,-0.0546685673556665,completed,115,539864.4531543399
52,BAJFINANCE,2020-09-24,3450.0,3028.9,-0.12205797101449267,0.03633332232823783,completed,90,478496.0634777872
179,INFY,2022-04-28,1800.0,1582.6,-0.12077777777777787,-0.13721091874131164,uncoverable_odd_lot,270,-69957.65996063525
200,HINDALCO,2022-09-29,415.0,371.2,-0.10554216867469879,0.026266163793103425,completed,59,199192.52452385315
167,DRREDDY,2022-01-27,4650.0,4256.35,-0.08465591397849459,-0.12628190820773677,completed,479,652661.9206129853
374,SHRIRAMFIN,2024-10-31,680.0,627.78,-0.0767941176470589,-0.18498518589314727,completed,269,1249967.8184610533
149,COALINDIA,2021-10-28,177.5,166.55,-0.06169014084507041,-0.15520864605223672,completed,178,642445.7969182399
74,ASIANPAINT,2021-01-28,2600.0,2441.7,-0.060884615384615426,-0.06737109390998075,completed,118,237483.3014342424
51,MARUTI,2020-09-24,6700.0,6297.7,-0.060044776119403065,0.03175762579989527,completed,62,213173.34658542287
4,HINDALCO,2020-01-30,205.0,193.45,-0.056341463414634196,-0.54561902300336,residual_after_call_away,331,312395.9378671312
358,TATAMOTORS,2024-09-26,1050.0,993.15,-0.05414285714285716,-0.41625132155263556,terminated,406,-4950270.406734688
81,DIVISLAB,2021-01-28,3600.0,3429.75,-0.04729166666666662,-0.04573219622421454,fo_exit,89,457929.75362702226
422,SHRIRAMFIN,2025-07-31,660.0,630.85,-0.04416666666666669,-0.09384164222873903,completed,123,531870.9593678819
10,COALINDIA,2020-05-28,140.0,133.9,-0.04357142857142848,-0.05787901418969377,residual_after_call_away,116,346093.81153248064
105,IOC,2021-03-25,95.0,90.9,-0.04315789473684206,0.0,fo_exit,29,-145165.04572183767
99,INDUSINDBK,2021-03-25,1000.0,957.8,-0.042200000000000015,-0.13134266026310293,completed,86,482199.29579845787
50,M&M,2020-09-24,600.0,575.1,-0.04149999999999998,0.029299252303947254,completed,90,709759.0743329667
272,SBIN,2023-08-31,585.0,561.35,-0.04042735042735035,-0.02556337400908526,completed,150,517446.5845656162
176,BAJFINANCE,2022-04-28,7000.0,6727.65,-0.03890714285714292,-0.1801371950086582,cash_settlement_forced_sale,52,-1167647.5372150096
312,TATACONSUM,2024-03-28,1140.0,1096.2,-0.03842105263157891,-0.03279511038131733,completed,143,574867.5098398384
78,BAJFINANCE,2021-01-28,5000.0,4810.25,-0.03795000000000004,-0.015737227794813125,completed,55,341284.51320775
