symbol,total_pnl,premium,option_pnl,stock_pnl,costs,cycles,assignments,assignment_rate,capital_days_share,pnl_share_of_total
TECHM,-817832.6267714009,766671.0,-815724.0000000001,0.0,2108.62677140076,13,0,0.0,0.013767804032454747,-0.02446506068806252
BAJAJ-AUTO,-669552.4477271629,1207878.9,-890240.4750000006,285956.2500000004,65268.22272716261,16,2,0.125,0.018858437250089993,-0.020029332080027832
INFY,-638355.8278187949,1043806.01,-1456434.2300000004,906435.0000000005,88356.59781879501,12,2,0.16666666666666666,0.028709473987569654,-0.019096100542991122
HCLTECH,-567499.9158851828,417178.08999999997,-955421.9849999998,432669.99999999977,44747.93088518279,8,1,0.125,0.008059185764696011,-0.016976480795846485
TATAMOTORS,-556652.6362444959,2452514.1325,-106538.36749999964,-296110.59375000093,154003.6749944953,15,4,0.26666666666666666,0.04406649345602919,-0.016651989761834497
MARUTI,-552635.9809280701,1004676.51,-893025.3300000003,422580.0000000001,82190.65092807,12,2,0.16666666666666666,0.021273219822949933,-0.01653183349408162
TMPV,-519718.3582044188,161731.84,-483228.16000000027,0.0,36490.19820441856,1,1,1.0,0.0021689588462805846,-0.015547119004492075
VEDL,-364581.83226190734,100625.0,29749.999999999804,-381633.87499999965,12697.9572619075,1,1,1.0,0.0038830236870505317,-0.010906286152051208
NESTLEIND,-271657.593354992,215371.314,-270929.686,0.0,727.90735499196,6,0,0.0,0.004367834485852985,-0.008126503260257677
POWERGRID,-265956.3543373005,701779.56,217939.56000000023,-447300.0,36595.9143373008,6,1,0.16666666666666666,0.03852748258660008,-0.007955953499831012
IOC,-154985.496108744,235606.80000000002,-154393.19999999998,0.0,592.296108744,2,0,0.0,0.0015386086821541417,-0.004636314869264512
WIPRO,58189.01084307344,614113.47,59506.110000000015,0.0,1317.0991569265998,9,0,0.0,0.008719051519738648,0.0017406956326432319
DIVISLAB,82708.96921611138,325591.56,83391.56000000017,0.0,682.5907838887999,5,0,0.0,0.0051209248562605015,0.00247419812450801
GAIL,82786.40841890912,182663.28000000003,-194468.0,294750.17000000004,17495.761581090905,1,1,1.0,0.0007540497592710982,0.002476514680162633
APOLLOHOSP,156825.74809004285,189131.55,157194.04999999976,0.0,368.30190995690015,4,0,0.0,0.004749217710692013,0.0046913651019527556
BRITANNIA,192041.2576323612,192406.36,192406.36,0.0,365.10236763880005,6,0,0.0,0.004975671589064132,0.005744819745251894
BEL,204492.8464735372,297675.375,-199934.6249999999,424934.9999999999,20507.528526462753,3,1,0.3333333333333333,0.00339013526738553,0.0061173028997388605
MAXHEALTH,211219.02270962182,257664.12,-618823.3800000004,876487.5000000002,46445.09729037808,1,1,1.0,0.004778346071640487,0.006318513152824557
TRENT,216059.886090311,216508.5,216508.5,0.0,448.613909689,2,0,0.0,0.001942762448751449,0.0064633251993416055
ITC,216207.9915696,216560.0,216560.0,0.0,352.00843039999995,4,0,0.0,0.004908388841098603,0.006467755701892408
SBIN,240198.70632654836,1815471.45,-1739144.549999999,2107874.999999998,128531.7436734509,16,3,0.1875,0.03173251909357392,0.007185426131349116
JIOFIN,286451.77467351925,286930.14,286930.14,0.0,478.36532648076,3,0,0.0,0.0040375869115990975,0.008569063916240332
HINDUNILVR,326013.3140927234,218658.36000000002,-234311.64000000007,596970.0000000001,36645.0459072766,5,1,0.2,0.0050507744023304685,0.009752527905229055
SBILIFE,371659.5303303025,372279.1875,372279.1875,0.0,619.6571696975,7,0,0.0,0.007796939844945889,0.011118012007815422
TCS,398892.568645239,312583.9,-138676.09999999963,571259.9999999997,33691.331354761,6,1,0.16666666666666666,0.007201916112251703,0.011932674951412418
INDUSINDBK,420803.9509190456,1127208.97,-81665.03000000035,540450.0000000001,37981.0190809542,9,1,0.1111111111111111,0.009525899048385415,0.012588143172586549
BPCL,426506.02481768397,526860.0,427409.9999999999,0.0,903.9751823160001,8,0,0.0,0.009815624024560626,0.01275871790806601
ICICIBANK,442591.37480296363,503363.475,-266086.525,769450.0,60772.100197036256,6,2,0.3333333333333333,0.007519320054891297,0.013239903239509862
LT,448956.59768705786,374417.1175,-13242.882499999814,513659.9999999998,51460.519812942126,8,1,0.125,0.009903699508737783,0.013430315750645759
HDFCBANK,468393.1665946703,439064.175,280314.175,208750.0,20671.00840532965,6,1,0.16666666666666666,0.005441232967618916,0.014011751147481991
ETERNAL,537164.94331441,538132.235,538132.235,0.0,967.29168558999,3,0,0.0,0.005003372634921752,0.016069025015017002
UPL,551315.3598669318,787483.45,247568.4500000006,326339.9999999997,22593.0901330685,5,1,0.2,0.003739405191578951,0.0164923277647318
ADANIPORTS,553481.61180482,1678631.3925,-193151.60749999993,794755.0,48121.78069518028,16,2,0.125,0.020538519046672664,0.016557130125742132
NTPC,616926.6734533892,691284.6,681009.6,-60224.99999999996,3857.9265466108,11,1,0.09090909090909091,0.014267851293764152,0.018455057932459457
TATACONSUM,630610.3690787688,643021.0608,-159598.93919999915,851444.9999999992,61235.69172123122,7,1,0.14285714285714285,0.014740467363485384,0.018864398955247316
GRASIM,647672.769239379,683153.5053000001,450803.50530000054,232349.99999999945,35480.73606062107,12,1,0.08333333333333333,0.013292300127535378,0.019374812262015543
SUNPHARMA,716043.1790421687,794310.86,594880.8600000006,145039.99999999988,23877.6809578318,12,1,0.08333333333333333,0.014397918085303238,0.021420079435686887
ASIANPAINT,780290.4466846022,1067233.775,309018.775,572773.3124999994,101501.64081539733,8,3,0.375,0.026910326784023775,0.023342004840056555
BAJAJFINSV,792282.6197864071,1607961.01,314391.01000000007,520544.9999999996,42653.3902135926,9,1,0.1111111111111111,0.028561591927640188,0.02370074479871489
ADANIENT,812473.7906624603,813852.2046,813852.2046,0.0,1378.4139375397963,4,0,0.0,0.00625579640361666,0.024304753742202242
BHARTIARTL,818189.8451416555,1067478.9199,2066.219900000142,917269.1267999993,101145.50155834388,16,2,0.125,0.02622750388982483,0.02447574669987116
HINDALCO,869993.4388529846,3196738.515,-3330332.7549999985,4471773.0074999975,271446.8136470145,21,5,0.23809523809523808,0.04487154097241598,0.026025425720394825
COALINDIA,940198.2793523961,1533702.06,-512852.94000000076,1625400.0000000012,172348.780647604,8,5,0.625,0.018959753514764397,0.028125568985887146
HEROMOTOCO,949503.6825056364,792375.6,590775.6,411600.0,52871.91749436362,9,1,0.1111111111111111,0.011467156810771225,0.028403935543320352
HDFCLIFE,957437.4960603818,1049612.74,408642.7400000002,646469.9999999998,97675.2439396182,11,2,0.18181818181818182,0.024087364392363326,0.028641271672683252
TITAN,962338.1116385468,879865.39,280322.89000000013,765292.4999999999,83277.27836145318,11,4,0.36363636363636365,0.011429684540643519,0.02878787117679204
EICHERMOT,965884.9570213575,1023196.5125000001,436917.7624999997,612753.7500000002,83786.55547864249,7,2,0.2857142857142857,0.015343708816582926,0.028893973311509016
RELIANCE,1030140.0926806907,2150683.639,1746633.639,-612499.9999999995,103993.54631930981,9,3,0.3333333333333333,0.05029847984919421,0.030816134083733477
CIPLA,1035335.3311337195,957415.75,294870.7499999993,849745.0000000007,109280.41886628051,8,3,0.375,0.021287042494461384,0.030971547086200833
KOTAKBANK,1040093.4749394323,1081879.6400000001,-193240.35999999993,1323120.0,89786.16506056758,5,2,0.4,0.017523763613368555,0.031113884617327274
SHRIRAMFIN,1070856.7036236285,1243589.445,-509978.0550000005,1689817.5000000007,108982.74137637163,5,2,0.4,0.021381927678202545,0.03203415146910448
ULTRACEMCO,1117651.0667844599,1308406.085,-42218.9150000005,1223145.0000000002,63275.01821553991,12,1,0.08333333333333333,0.020154234006755718,0.03343398182205637
ONGC,1370007.0031308483,1155109.57,777239.57,629950.2200000001,37182.7868691518,9,3,0.3333333333333333,0.013034586460899947,0.04098308550856526
AXISBANK,1377508.7824001296,1781371.0125,69874.76250000109,1484131.2499999988,176497.2300998704,15,3,0.2,0.042647666827134036,0.04120749754482255
DRREDDY,1844842.754925307,1759330.0125,-81119.98749999882,2090449.9999999988,164487.25757469313,12,3,0.25,0.052710223740889704,0.055187563422797896
BAJFINANCE,1940301.5605543028,2123912.525,-90018.72499999963,2161581.2499999995,131260.96444569732,14,3,0.21428571428571427,0.03494948159827413,0.058043166631174335
TATASTEEL,2283873.051433376,2418514.97,-709340.0299999986,3212010.192499999,218797.11106662426,19,4,0.21052631578947367,0.03511671451850624,0.06832093875702783
M&M,3004703.0264576008,2863854.84,-184470.15999999997,3385200.0,196026.8135423995,11,4,0.36363636363636365,0.030521060706322607,0.08988421283960071
JSWSTEEL,3339906.372027958,3314879.1,1199834.1000000008,2379644.999999999,239572.72797204208,15,5,0.3333333333333333,0.03769597407555717,0.09991165601534557
