year,cycles,assignment_rate,called_away,pnl
2020,73,0.0821917808219178,6,6311372.77721702
2021,89,0.1348314606741573,10,11218637.472628463
2022,57,0.15789473684210525,7,32736.56660372855
2023,84,0.07142857142857142,6,10591900.710277213
2024,90,0.1,5,-5243698.221460379
2025,57,0.10526315789473684,4,3246774.619496125
2026,18,0.1111111111111111,0,-7833053.505002342
