symbol,total_pnl,premium,option_pnl,stock_pnl,costs,cycles,assignments,assignment_rate,capital_days_share,pnl_share_of_total
TATAMOTORS,-4464375.834794286,1995802.4224999999,100334.92249999987,-4492542.65625,72168.1010442855,13,1,0.07692307692307693,0.04969427217864177,-0.24362652820103478
HCLTECH,-4265652.468750412,448754.04,-3038785.959999999,-1109080.000000001,117786.5087504117,6,2,0.3333333333333333,0.016704200565726864,-0.23278194756237908
NESTLEIND,-1690128.2907589765,266121.375,-1688768.625000001,0.0,1359.6657589755007,5,0,0.0,0.007058516315643254,-0.09223239774814614
INFY,-1642063.9945330601,755231.3200000001,-1624188.6800000002,-12796.229999999923,5079.0845330599,10,1,0.1,0.014497913793602941,-0.08960946947031541
TRENT,-1322041.3189550515,466513.02,-1097486.98,-176200.00000000073,48354.33895505067,2,1,0.5,0.023906583795086554,-0.07214543501581726
SBIN,-998047.0856122456,1504966.95,-2398108.05,1485824.9999999993,85764.0356122453,14,1,0.07142857142857142,0.028644047075714926,-0.054464667726631145
WIPRO,-980170.3699308463,624988.08,-978211.9199999999,0.0,1958.4499308463999,6,0,0.0,0.008666160166460662,-0.05348911317247543
MARUTI,-797278.4085710715,1251095.535,-1813536.9649999994,1127550.0000000002,111291.4435710721,12,2,0.16666666666666666,0.01941963831725869,-0.043508471929260537
BAJAJFINSV,-668980.9415457866,1146769.6475,-666305.3524999998,0.0,2675.58904578665,11,0,0.0,0.015146046267143687,-0.0365071199765979
TECHM,-583851.4204676967,937123.92,-2440396.079999999,1971359.9999999995,114815.34046769704,8,2,0.25,0.05704946466686141,-0.03186149639221446
KOTAKBANK,-551586.4225595932,616376.2,-549943.8000000009,0.0,1642.6225595924006,7,0,0.0,0.006973370701205203,-0.030100755425582305
GAIL,-86592.67796809999,255590.0,-86009.99999999999,0.0,582.6779680999999,2,0,0.0,0.001961150876246394,-0.00472546987119209
TITAN,-35763.80328679927,472973.53750000003,-34753.96249999934,0.0,1009.8407867999248,8,0,0.0,0.00960574943727049,-0.0019516751170724745
ASIANPAINT,17824.349022013033,604624.29,-342693.20999999973,412200.0,51682.4409779872,7,1,0.14285714285714285,0.00982187525174825,0.0009726968405823392
IOC,139862.01176481234,379665.0,113165.00000000038,58764.87499999946,32067.863235187502,4,1,0.25,0.003641633984767201,0.007632443507087395
ICICIBANK,142928.59462404953,606158.05,-266554.4500000005,479600.00000000023,70116.95537595026,6,1,0.16666666666666666,0.010597532765690778,0.007799790738387687
POWERGRID,176784.18306844047,791670.0,178230.00000000047,0.0,1445.8169315599998,10,0,0.0,0.012401374599215805,0.009647332204011202
BRITANNIA,195417.93611360856,193444.88999999998,186774.14,11554.960000000028,2911.16388639148,5,1,0.2,0.0048302266851992515,0.010664199226354752
BAJFINANCE,202660.8959488602,2210026.6,-2653104.65,3009383.7375000007,153618.19155114063,17,3,0.17647058823529413,0.027505497271990923,0.011059456530815815
HINDUNILVR,238328.88227084102,238738.65,238738.65,0.0,409.767729159,6,0,0.0,0.00640314267338452,0.013005902797239214
BEL,254986.1945784859,557276.46,256031.45999999956,0.0,1045.2654215136404,4,0,0.0,0.0064285091169433645,0.013914912996390354
ULTRACEMCO,282987.2940309945,856018.49,360065.9899999992,-6639.390000000276,70439.30596900436,13,1,0.07692307692307693,0.019065618024479036,0.015442967734134205
APOLLOHOSP,307309.007462843,307771.025,307771.025,0.0,462.017537157,4,0,0.0,0.00550679771478258,0.01677023381176155
GRASIM,334087.46183178434,334608.05,334608.05,0.0,520.58816821565,4,0,0.0,0.006996533816603315,0.018231567290374385
ETERNAL,338953.1274577776,339482.54,339482.54,0.0,529.41254222236,2,0,0.0,0.004001801243351021,0.018497092700356467
JIOFIN,354280.15189293,354855.0,354855.0,0.0,574.8481070700001,3,0,0.0,0.006087401332159057,0.019333507439833853
SBILIFE,359956.6767067285,360543.9375,360543.9375,0.0,587.26079327145,6,0,0.0,0.009192720575073676,0.01964328244171751
