sector,total_pnl,premium,capital_days_share,cycles,assignment_rate
Financial Services,4384998.043337552,13775381.8225,0.2354541223074829,104,0.09615384615384616
Automobile,424338.13183654833,9473332.475,0.18817343850797402,64,0.140625
Metals & Mining,9042016.137919514,10696377.8531,0.11328049102873716,66,0.09090909090909091
Information Technology,-6725835.267496755,3098845.2925,0.10266259081629817,35,0.17142857142857143
Healthcare,4352749.522669389,4566027.1225,0.08785273773967132,37,0.13513513513513514
Oil Gas & Consumable Fuels,2835724.2036245414,4486566.3275,0.04973032212953157,33,0.18181818181818182
FMCG,246502.1675378813,2220815.985,0.0444070229133795,29,0.06896551724137931
Power,641300.0006130612,1549794.6,0.03322125247788173,19,0.05263157894736842
Telecommunication,1398561.4517878501,1557835.8315,0.031690010519921125,17,0.058823529411764705
Consumer Services,-983088.1914972737,805995.56,0.027908385038437577,4,0.25
Construction Materials,617074.7558627789,1190626.54,0.026062151841082352,17,0.058823529411764705
Consumer Durables,-17939.454264786254,1077597.8275,0.01942762468901874,15,0.06666666666666667
Capital Goods,793057.3239125181,1096269.78,0.018892262966536746,15,0.0
Services,909633.3156060472,1722235.98,0.018374448110992956,10,0.1
Chemicals,405578.2783109635,406106.35,0.002863138913054053,3,0.0
