cycle_id,symbol,sector,start,end,status,assigned,n_calls,premium,option_pnl_t,stock_pnl_t,costs_t,total_pnl,pnl_pct_nav,assignment_gap_pct,drawdown_while_held_pct
358,TATAMOTORS,Automobile,2024-09-02,2025-10-13,terminated,True,3,393254.125,-388433.37500000035,-4492542.65625,69294.37548468781,-4950270.406734688,-0.08324418492839039,-0.05414285714285716,-0.41625132155263556
464,HCLTECH,Information Technology,2026-01-28,,open,True,2,101347.75,-1962532.2499999995,-1788990.0000000007,49101.2267999235,-3800623.476799924,-0.07874305918677645,-0.17333333333333334,-0.1996714456391876
462,INFY,Information Technology,2026-01-28,2026-02-24,put_cash_settled,False,0,86697.0,-2227503.0,0.0,1212.741729298,-2228715.741729298,-0.046175554256496824,,
371,BAJAJ-AUTO,Automobile,2024-09-30,,open,True,3,276061.55999999994,-2320378.440000001,287640.0000000009,59520.91311795104,-2092259.3531179512,-0.034415915600120334,-0.1803083333333334,-0.2571597043603794
372,MARUTI,Automobile,2024-09-30,2024-10-31,put_cash_settled,False,0,160002.375,-1822080.1249999993,0.0,1134.5890372324995,-1823214.7140372319,-0.029990356418144064,,
379,NESTLEIND,FMCG,2024-09-30,2024-10-31,put_cash_settled,False,0,153250.5,-1801639.500000001,0.0,1114.1291153500006,-1802753.629115351,-0.029653788692585115,,
454,TECHM,Information Technology,2026-01-28,,open,True,4,149868.0,-1971251.9999999993,426959.99999999965,48815.051042711995,-1593107.0510427118,-0.03300672207517677,-0.17963414634146335,-0.010182845250483186
165,WIPRO,Information Technology,2022-01-03,2022-01-27,put_cash_settled,False,0,89856.0,-1513344.0,0.0,1201.0590284799998,-1514545.05902848,-0.041759861413333606,,
426,TRENT,Consumer Services,2025-06-27,,open,True,3,385125.0,-1178875.0,-176200.00000000073,48215.13264424999,-1403290.1326442508,-0.029533695313144714,-0.1348275862068965,-0.3432044639298525
465,SBIN,Financial Services,2026-02-26,2026-03-30,put_cash_settled,False,0,64495.799999999996,-1380904.2000000002,0.0,789.8693307772,-1381694.0693307773,-0.03132225300949891,,
176,BAJFINANCE,Financial Services,2022-04-04,2022-05-26,cash_settlement_forced_sale,True,1,205006.05,-101387.7000000004,-1026853.7624999988,39406.07471501037,-1167647.5372150096,-0.03481333704346712,-0.03890714285714292,-0.1801371950086582
370,M&M,Automobile,2024-09-30,2024-10-31,put_cash_settled,False,0,234813.88,-1095291.1199999992,0.0,931.9004601483996,-1096223.0204601476,-0.01803195139017669,,
163,HCLTECH,Information Technology,2022-01-03,2022-01-27,put_cash_settled,False,0,117048.4,-1088701.5999999999,0.0,970.735721472,-1089672.3357214718,-0.030045039237631892,,
375,BAJAJFINSV,Financial Services,2024-09-30,2024-10-31,put_cash_settled,False,0,188760.0,-1005240.0,0.0,814.5843328000001,-1006054.5843328,-0.016548756066934806,,
391,DRREDDY,Healthcare,2024-12-30,2025-01-30,put_cash_settled,False,0,84368.375,-854069.1249999999,0.0,589.74386524975,-854658.8688652497,-0.019096897636344805,,
