symbol,total_pnl,premium,option_pnl,stock_pnl,costs,cycles,assignments,assignment_rate,capital_days_share,pnl_share_of_total
TRENT,-237433.30094739152,103988.61,-236972.53000000003,0.0,460.77094739150004,4,0,0.0,0.003447754945531101,-0.026220827009896096
HCLTECH,-194838.59960512043,116280.885,-249816.45499999996,61809.99999999997,6832.14460512045,10,1,0.1,0.00885353726480834,-0.021516902619436035
JIOFIN,-189960.19552971373,185843.58000000002,162813.5800000001,-346202.0000000001,6571.77552971372,4,1,0.25,0.014888620186823388,-0.02097815852231398
NESTLEIND,-163010.39303637968,64039.922000000006,-162608.07799999998,0.0,402.31503637968,7,0,0.0,0.005182175557289359,-0.01800197065688414
HINDUNILVR,-146368.10432637323,55618.92,-239431.08000000002,99495.00000000003,6432.024326373221,7,1,0.14285714285714285,0.005711764853638882,-0.016164087884869296
TMPV,-107546.6534216039,33461.759999999995,-99978.24000000006,0.0,7568.41342160384,1,1,1.0,0.0017836781571321935,-0.011876860506125676
INFY,-87475.11824038005,224401.52,-251939.20000000004,181205.71000000008,16741.6282403801,14,2,0.14285714285714285,0.02259175537341319,-0.009660270627157831
UPL,-67226.05965544726,321823.44999999995,191268.45000000013,-246688.03000000012,11806.479655447321,5,2,0.4,0.022196559618298643,-0.007424076040508771
TECHM,-64332.596725524396,177254.7,-63579.3,0.0,753.2967255244,15,0,0.0,0.012881850752952602,-0.00710453791909814
VEDL,-53056.64509238371,65183.5,40158.49999999996,-90494.68749999991,2720.4575923837497,3,1,0.3333333333333333,0.003246595565923105,-0.005859283879480301
TATAMOTORS,-33080.17693710624,349670.6925,190065.69250000003,-209208.4125,13937.456937106226,13,2,0.15384615384615385,0.025079933057299195,-0.003653192679643561
SHREECEM,19413.0383754752,19458.56,19458.56,0.0,45.521624524799996,1,0,0.0,0.0009355179669586499,0.0021438691158684403
WIPRO,20049.315120465995,143802.24,20556.159999999996,0.0,506.84487953400003,10,0,0.0,0.007903255784866675,0.0022141360177488976
GAIL,20631.997104727285,45665.82000000001,-48617.0,73687.54250000001,4438.545395272726,1,1,1.0,0.0007492934634660304,0.002278484209220504
POWERGRID,20821.847077151637,159582.38,90462.38000000003,-63900.0,5740.5329228484,10,1,0.1,0.026376639810303956,0.0022994501953096896
MARUTI,26089.35963116384,249985.12,-125728.00000000006,178490.00000000006,26672.64036883616,12,4,0.3333333333333333,0.017955459004691664,0.0028811652912970596
ITC,51181.2119376,51360.0,51360.0,0.0,178.7880624,5,0,0.0,0.005054196699409416,0.005652171363569556
IOC,57454.94185337526,48367.8,-16632.199999999997,78253.175,4166.03314662475,2,1,0.5,0.001783720923667826,0.006345007567134793
BAJAJ-AUTO,60546.62679175146,255626.72999999998,-18328.332500000142,95318.75000000013,16443.790708248554,17,2,0.11764705882352941,0.015963047113554705,0.006686436236217003
NTPC,61427.47046616241,208302.9,187752.89999999994,-120449.99999999993,5875.4295338376005,12,1,0.08333333333333333,0.029392491057636035,0.0067837117637749855
HDFCLIFE,64330.02599845914,507655.61,199820.61,-97184.99999999988,38305.58400154098,13,5,0.38461538461538464,0.042407844085341435,0.007104254022149402
