symbol,total_pnl,premium,option_pnl,stock_pnl,costs,cycles,assignments,assignment_rate,capital_days_share,pnl_share_of_total
MAXHEALTH,64778.37908688119,78777.405,-184168.8450000001,262946.25000000006,13999.02591311877,1,1,1.0,0.005697847019199015,0.007153767669662023
BRITANNIA,71984.0406657735,105017.22,45272.58000000005,34664.880000000085,7953.41933422664,7,1,0.14285714285714285,0.006179756083165878,0.007949521277088192
TCS,108604.7325040506,87172.33,-25642.66999999991,142814.9999999999,8567.5974959494,6,1,0.16666666666666666,0.006362434528078977,0.011993708936707752
BEL,115344.62683530105,91406.91,-154833.08999999994,283289.99999999994,13112.28316469894,4,1,0.25,0.0045853335077392495,0.012738025772718277
SBILIFE,118647.72854817274,95903.4,43515.89999999989,82387.5000000001,7255.67145182725,8,1,0.125,0.007114498312686529,0.013102802146814557
TATACONSUM,125003.41594695227,127104.6516,12444.651600000127,121634.99999999988,9076.235653047735,9,1,0.1111111111111111,0.012963867470560747,0.013804689283738536
HINDALCO,126930.80805925425,696240.6799999999,-427118.44499999983,608855.9499999998,54806.69694074572,21,6,0.2857142857142857,0.037678458481585485,0.014017539860954352
BPCL,131849.4042999264,129753.0,50732.99999999994,88020.00000000006,6903.5957000736,8,1,0.125,0.008101256826119235,0.014560722559605227
ETERNAL,138679.38095372423,138997.64,138997.64,0.0,318.25904627576,4,0,0.0,0.004594428969801818,0.01531498759153747
SBIN,151304.19690680984,403253.1,-350671.1999999999,534149.9999999999,32174.6030931901,17,4,0.23529411764705882,0.026269333375080237,0.016709202782990255
LT,154241.64585215139,143384.63749999998,-30045.362499999977,203429.99999999997,19142.991647848605,14,2,0.14285714285714285,0.014092425257708971,0.017033598477860658
ICICIBANK,163572.58100153925,162180.625,-194494.37499999997,384175.0,26108.04399846075,10,3,0.3,0.011479786449117431,0.018064055601677797
HDFCBANK,169564.52861813354,157993.77,94493.76999999999,83500.0,8429.24138186645,9,1,0.1111111111111111,0.007248942639182564,0.018725773318949014
DIVISLAB,170343.8058486164,182983.07,77023.06999999996,105960.00000000003,12639.264151383599,8,1,0.125,0.010277094314336079,0.01881183240742443
GRASIM,174202.623947184,156248.1826,-20576.817399999825,216824.99999999983,22045.558652816013,13,2,0.15384615384615385,0.013317923297406291,0.019237979040695626
ASIANPAINT,194691.00289769008,175192.9,-497.1000000000986,209548.31250000012,14360.209602309928,9,2,0.2222222222222222,0.014477482225485422,0.02150060285138615
SHRIRAMFIN,203644.26254649134,241058.1525,-126625.59750000009,353283.7500000001,23013.889953508686,5,2,0.4,0.017014432878712713,0.022489351571507415
ADANIENT,207118.01627386964,219768.5466,174648.54659999983,45120.00000000016,12650.530326130345,7,1,0.14285714285714285,0.010204666216344308,0.022872973814879037
COALINDIA,216477.2945186574,308121.08999999997,-46763.910000000134,294120.0000000002,30878.79548134264,9,5,0.5555555555555556,0.014055508382278545,0.02390656099416203
KOTAKBANK,224415.7004936708,254163.0,-57837.00000000001,305600.0,23347.2995063292,7,3,0.42857142857142855,0.015631885113112372,0.024783234859936536
EICHERMOT,226209.85645170626,243966.9375,202826.93750000006,35839.99999999995,12457.081048293745,13,2,0.15384615384615385,0.013413782185355116,0.024981371569558604
APOLLOHOSP,227068.3819996054,185792.3,85179.80000000003,152112.49999999994,10223.9180003946,5,1,0.2,0.011473381306560717,0.025076182406055494
ADANIPORTS,262297.7632883613,444673.9175,-43414.08250000009,335375.0000000001,29663.15421163868,18,3,0.16666666666666666,0.022304501611760227,0.02896672138585435
CIPLA,264682.66590517253,230246.745,42494.244999999915,245277.5000000001,23089.07909482745,12,3,0.25,0.017372022482123325,0.029230096905216357
RELIANCE,265330.89481617557,460760.113,370897.613,-84237.49999999996,21329.21818382452,9,3,0.3333333333333333,0.038176201409885493,0.029301683738530822
BAJAJFINSV,282868.4104215448,310231.7325,124174.23250000004,174157.4999999999,15463.322078455149,11,2,0.18181818181818182,0.024428015505837616,0.03123843044186554
AXISBANK,294356.5627007489,339067.05,54516.990000000194,273207.49999999977,33367.9272992511,16,3,0.1875,0.03214058399527199,0.032507118752959266
INDUSINDBK,296565.7014557817,373496.67,72112.66999999991,248760.00000000006,24306.9685442183,11,3,0.2727272727272727,0.015652088143341045,0.03275108387876698
BHARTIARTL,331623.02469191275,300165.7199,111784.81989999997,250334.70560000002,30496.50080808724,20,3,0.15,0.025972852106716043,0.036622621714179036
ULTRACEMCO,331915.73791143484,328857.74,-81369.76000000015,455227.5000000001,41942.002088565125,16,4,0.25,0.021560688353146677,0.03665494735115571
HEROMOTOCO,333883.11122082983,319354.03500000003,258679.035,90675.0,15470.92377917019,13,2,0.15384615384615385,0.014399368702668105,0.03687221323173647
DRREDDY,350667.4259261101,335538.175,37575.675000000134,342962.4999999999,29870.749073889878,13,3,0.23076923076923078,0.031471700528489785,0.038725780573009815
SUNPHARMA,370993.9409262268,354433.8,222448.8000000002,170134.9999999998,21589.859073773197,16,3,0.1875,0.040114531230094945,0.04097052901985978
TATASTEEL,414551.38367222983,586409.51,124034.51000000015,337782.67499999993,47265.8013277703,23,6,0.2608695652173913,0.03263406051615792,0.04578077327236865
TITAN,424381.1906329424,409365.8825,13695.882500000072,461019.99999999994,50334.69186705758,15,5,0.3333333333333333,0.02510931400139221,0.04686632305341906
ONGC,427627.0602868158,468784.145,279564.14499999996,168912.7200000001,20849.80471318425,10,3,0.3,0.02744718999512867,0.047224779033904055
BAJFINANCE,542440.2487233315,521770.625,-309148.12499999994,887168.75,35580.376276668576,15,4,0.26666666666666666,0.028254889887077018,0.059904115674704585
M&M,582784.2233418686,569187.99,-41929.51000000003,661867.5,37153.76665813136,15,4,0.26666666666666666,0.02439553216884854,0.06435948219297866
JSWSTEEL,735877.8300548911,717258.24,244825.7400000001,548707.4999999999,57655.40994510889,17,6,0.35294117647058826,0.03194624327943634,0.08126629754670477
