cycle_id,symbol,start,end,status,n_puts,n_calls,assigned,called_away,premium,option_pnl,stock_pnl,costs,max_margin_lev,max_margin_unlev,put_strike,assign_fsp,assign_date,first_call_spot,min_spot_while_held,shares_assigned,shares_ca_delta,shares_called_away,shares_sold,cash_settled,stopped_out,stop_level,max_uncovered_at_call,residual_after_call_away,n_call_topups,option_pnl_t,stock_pnl_t,costs_t,total_pnl,sector,duration_days,assignment_gap_pct,drawdown_while_held_pct
1,TATASTEEL,2020-01-01,2020-11-27,residual_after_call_away,1,7,True,True,103575.91,-102054.08999999991,400809.7224999999,10465.83807332905,737874.9999999999,1475749.9999999998,450.0,448.55,2020-01-30,438.7,253.75,3000,0,1700,1300,False,False,397.5875,1300,1300,0,-102054.08999999991,400809.7224999999,10465.838073329052,288289.794426671,Metals & Mining,331,-0.0032222222222222374,-0.43428826217812955
2,VEDL,2020-01-01,2020-08-03,universe_removal_sale,1,2,True,False,60375.0,17849.99999999988,-228980.3249999998,7653.230357144501,759937.5,1519875.0,145.0,140.95,2020-01-30,137.9,61.55,10500,0,0,10500,False,False,131.41,0,0,0,17849.99999999988,-228980.3249999998,7653.2303571445,-218783.55535714442,Metals & Mining,215,-0.027931034482758688,-0.5633203263568641
3,ONGC,2020-01-01,2020-06-25,uncoverable_odd_lot,1,1,True,False,8815.0,-19475.000000000022,-119067.27999999996,2479.3903792168003,248562.5,497125.0,122.5,115.6,2020-01-30,109.25,60.0,4100,0,0,4100,False,False,108.3325,0,0,0,-19475.000000000022,-119067.27999999996,2479.3903792168003,-141021.67037921678,Oil Gas & Consumable Fuels,176,-0.05632653061224491,-0.4809688581314878
4,HINDALCO,2020-01-01,2020-11-27,residual_after_call_away,1,6,True,True,71745.0,-116175.00000000009,252259.42750000017,10699.400872156852,745420.0,1490840.0,205.0,193.45,2020-01-30,189.35,87.9,7000,0,4300,2700,False,False,182.155,2700,2700,0,-116175.0000000001,252259.42750000017,10699.400872156852,125385.0266278432,Metals & Mining,331,-0.056341463414634196,-0.54561902300336
5,DRREDDY,2020-02-04,2020-02-27,put_expired_otm,1,0,False,False,7312.5,7312.5,0.0,31.57925375,749137.5,1498275.0,3000.0,0.0,,,,0,0,0,0,False,False,2755.5724999999998,0,0,0,7312.5,0.0,31.57925375,7280.92074625,Healthcare,23,,
6,BAJFINANCE,2020-02-04,2020-02-27,put_expired_otm,1,0,False,False,3668.45,3668.45,0.0,27.602939271,512443.75,1024887.5,4100.0,0.0,,,,0,0,0,0,False,False,3841.3624999999997,0,0,0,3668.45,0.0,27.602939271,3640.8470607289996,Financial Services,23,,
7,KOTAKBANK,2020-03-30,2020-04-30,put_expired_otm,1,0,False,False,185913.0,185913.0,0.0,226.46454734000002,791130.0,1582260.0,1340.0,0.0,,,,0,0,0,0,False,False,1099.645,0,0,0,185913.0,0.0,226.46454734000002,185686.53545266,Financial Services,31,,
8,UPL,2020-05-04,2020-06-25,completed,1,1,True,True,286942.5,98842.50000000017,233099.9999999998,15631.49331665,922275.0,1844550.0,400.0,391.1,2020-05-28,405.85,405.0,4500,0,4500,0,False,False,327.59,0,0,0,98842.50000000017,233099.9999999998,15631.49331665,316311.00668334996,Chemicals,52,-0.022249999999999992,0.035540782408591154
9,TCS,2020-05-04,2020-05-28,put_expired_otm,1,0,False,False,61059.37499999999,61059.37499999999,0.0,90.22676881249998,719718.75,1439437.5,1920.0,0.0,,,,0,0,0,0,False,False,1640.8825,0,0,0,61059.37499999999,0.0,90.22676881249998,60969.14823118749,Information Technology,24,,
10,RELIANCE,2020-05-04,2020-05-28,put_expired_otm,1,0,False,False,65568.8,65568.79999999999,0.0,95.147363184,693600.0,1387200.0,1400.0,0.0,,,,0,0,0,0,False,False,1219.92,0,0,0,65568.79999999999,0.0,95.147363184,65473.65263681599,Oil Gas & Consumable Fuels,24,,
11,INFY,2020-05-04,2020-05-28,put_expired_otm,1,0,False,False,75933.12,75933.12,0.0,106.4567018816,815460.0,1630920.0,680.0,0.0,,,,0,0,0,0,False,False,572.645,0,0,0,75933.12,0.0,106.4567018816,75826.6632981184,Information Technology,24,,
12,COALINDIA,2020-05-04,2020-06-25,completed,1,1,True,True,157950.0,70200.0,87750.0,15474.070366999998,939600.0,1879200.0,140.0,133.9,2020-05-28,141.3,129.45,13500,0,13500,0,False,False,120.95500000000001,0,0,0,70200.0,87750.0,15474.070366999998,142475.929633,Oil Gas & Consumable Fuels,52,-0.04357142857142848,-0.03323375653472749
13,HDFCBANK,2020-05-04,2020-06-25,completed,1,1,True,True,149394.3,54144.29999999999,125250.0,12227.509466024,737700.0,1475400.0,960.0,945.25,2020-05-28,951.65,949.85,1500,0,1500,0,False,False,784.55,0,0,0,54144.29999999999,125250.0,12227.509466024,167166.790533976,Financial Services,52,-0.015364583333333348,0.004866437450409933
