date,starting_cash,starting_nav,assigned_stock_value,n_assigned_stocks,assignments_today,open_put_exposure,covered_call_exposure,gross_exposure,borrowed,uncovered_usable_shares,covered_call_opportunities,covered_call_lots_ordered,covered_call_lots_sold,covered_call_premium,cash_after_calls,margin_utilization_after_calls,breach,new_put_capacity,new_put_lots_decided,new_put_lots_attempted,new_put_lots_executed,new_put_lots_rejected,rejection_reason
2019-12-31,20000000.0,20000000.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,20000000.0,0.0,False,20000000.0,10,0,0,0,
2020-01-01,20002728.95890411,20002728.95890411,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,20002728.95890411,0.11829589929175066,False,17633836.15825476,0,8,8,0,
2020-01-02,20080492.508789763,20033192.508789763,0.0,0,0,4809750.0,0.0,4809750.0,0.0,0,0,0,0,0.0,20080492.508789763,0.11886398031443135,False,17651967.508789763,0,0,0,0,
2020-01-03,20083284.247398965,20025714.247398965,0.0,0,0,4809750.0,0.0,4809750.0,0.0,0,0,0,0,0.0,20083284.247398965,0.11865194772309397,False,17649624.247398965,0,0,0,0,
2020-01-06,20091660.627611026,19984835.627611026,0.0,0,0,4809750.0,0.0,4809750.0,0.0,0,0,0,0,0.0,20091660.627611026,0.1176623387760679,False,17633373.127611026,0,0,0,0,
2020-01-07,20094453.91889472,20009833.91889472,0.0,0,0,4809750.0,0.0,4809750.0,0.0,0,0,0,0,0.0,20094453.91889472,0.11807019536374547,False,17647268.91889472,0,0,0,0,
2020-01-08,20097247.59852243,20006257.59852243,0.0,0,0,4809750.0,0.0,4809750.0,0.0,0,0,0,0,0.0,20097247.59852243,0.11793210141282261,False,17646877.59852243,0,0,0,0,
2020-01-09,20100041.666548148,20035466.666548148,0.0,0,0,4809750.0,0.0,4809750.0,0.0,0,0,0,0,0.0,20100041.666548148,0.11841937797043417,False,17662879.166548148,0,0,0,0,
2020-01-10,20102836.12302587,20047366.12302587,0.0,0,0,4809750.0,0.0,4809750.0,0.0,0,0,0,0,0.0,20102836.12302587,0.11857617531460556,False,17670226.12302587,0,0,0,0,
2020-01-13,20111220.657977074,20062170.657977074,0.0,0,0,4809750.0,0.0,4809750.0,0.0,0,0,0,0,0.0,20111220.657977074,0.11864867668511885,False,17681820.657977074,0,0,0,0,
2020-01-14,20114016.66864088,20076361.66864088,0.0,0,0,4809750.0,0.0,4809750.0,0.0,0,0,0,0,0.0,20114016.66864088,0.11884860112512255,False,17690314.16864088,0,0,0,0,
2020-01-15,20116813.068026774,20082653.068026774,0.0,0,0,4809750.0,0.0,4809750.0,0.0,0,0,0,0,0.0,20116813.068026774,0.11889838418817109,False,17694858.068026774,0,0,0,0,
2020-01-16,20119609.856188793,20081114.856188793,0.0,0,0,4809750.0,0.0,4809750.0,0.0,0,0,0,0,0.0,20119609.856188793,0.1187995545608253,False,17695487.356188793,0,0,0,0,
2020-01-17,20122407.03318099,20086047.03318099,0.0,0,0,4809750.0,0.0,4809750.0,0.0,0,0,0,0,0.0,20122407.03318099,0.1188235293911897,False,17699352.03318099,0,0,0,0,
2020-01-20,20130799.730810296,20086934.730810296,0.0,0,0,4809750.0,0.0,4809750.0,0.0,0,0,0,0,0.0,20130799.730810296,0.1186314652750342,False,17703992.230810296,0,0,0,0,
2020-01-21,20133598.46350164,20083878.46350164,0.0,0,0,4809750.0,0.0,4809750.0,0.0,0,0,0,0,0.0,20133598.46350164,0.11850375435826266,False,17703863.46350164,0,0,0,0,
2020-01-22,20136397.585293505,20065447.585293505,0.0,0,0,4809750.0,0.0,4809750.0,0.0,0,0,0,0,0.0,20136397.585293505,0.11808358572258291,False,17696047.585293505,0,0,0,0,
2020-01-23,20139197.096239988,20084657.096239988,0.0,0,0,4809750.0,0.0,4809750.0,0.0,0,0,0,0,0.0,20139197.096239988,0.118379168168378,False,17707052.096239988,0,0,0,0,
