date,symbol,kind,amount
2020-01-01,,cash_interest,2728.9589041095887
2020-01-01,TATASTEEL,premium,26178.600000000002
2020-01-01,TATASTEEL,option_sale_costs,-52.16556474800001
2020-01-01,VEDL,premium,22050.0
2020-01-01,VEDL,option_sale_costs,-47.660518999999994
2020-01-01,ONGC,premium,6970.0
2020-01-01,ONGC,option_sale_costs,-31.205524599999997
2020-01-01,HINDALCO,premium,19950.0
2020-01-01,HINDALCO,option_sale_costs,-45.369041
2020-01-02,,cash_interest,2791.350535001747
2020-01-03,,cash_interest,2791.73860920147
2020-01-06,,cash_interest,8376.380212062415
2020-01-07,,cash_interest,2793.2912836934834
2020-01-08,,cash_interest,2793.6796277104454
2020-01-09,,cash_interest,2794.0680257178647
2020-01-10,,cash_interest,2794.4564777232486
2020-01-13,,cash_interest,8384.534951202311
2020-01-14,,cash_interest,2796.0106638056072
2020-01-15,,cash_interest,2796.399385890908
2020-01-16,,cash_interest,2796.7881620192293
2020-01-17,,cash_interest,2797.176992198083
2020-01-20,,cash_interest,8392.697629304952
2020-01-21,,cash_interest,2798.732691342379
2020-01-22,,cash_interest,2799.121791864084
2020-01-23,,cash_interest,2799.510946481422
2020-01-24,,cash_interest,2799.9001552019126
2020-01-27,,cash_interest,8400.868254099236
2020-01-28,,cash_interest,2801.457368881173
2020-01-29,,cash_interest,2801.8468482077037
2020-01-30,,cash_interest,2802.2363816825323
2020-01-30,ONGC,put_assignment_pay_strike,-502250.0
2020-01-30,ONGC,assignment_costs,-2059.8176550000003
2020-01-30,TATASTEEL,put_assignment_pay_strike,-1350000.0
2020-01-30,TATASTEEL,assignment_costs,-5536.593000000001
2020-01-30,HINDALCO,put_assignment_pay_strike,-1435000.0
2020-01-30,HINDALCO,assignment_costs,-5885.193300000001
2020-01-30,VEDL,put_assignment_pay_strike,-1522500.0
2020-01-30,VEDL,assignment_costs,-6244.04655
2020-01-31,,cash_interest,2131.196539491607
2020-01-31,HINDALCO,premium,17500.0
2020-01-31,HINDALCO,option_sale_costs,-42.69565
2020-01-31,TATASTEEL,premium,27348.6
2020-01-31,TATASTEEL,option_sale_costs,-53.44224534800001
2020-01-31,VEDL,premium,31500.0
2020-01-31,VEDL,option_sale_costs,-57.97217
2020-02-03,,cash_interest,6426.257867462195
2020-02-04,,cash_interest,2148.4693279203625
2020-02-04,DRREDDY,premium,7312.5
2020-02-04,DRREDDY,option_sale_costs,-31.57925375
2020-02-04,BAJFINANCE,premium,3668.45
2020-02-04,BAJFINANCE,option_sale_costs,-27.602939271
2020-02-05,,cash_interest,2150.291104123755
2020-02-06,,cash_interest,2150.5908193564183
2020-02-07,,cash_interest,2150.890576364459
2020-02-07,ONGC,premium,1845.0
2020-02-07,ONGC,option_sale_costs,-25.613227099999996
2020-02-10,,cash_interest,6454.331903286339
2020-02-11,,cash_interest,2152.3435955308246
2020-02-12,,cash_interest,2152.643596847051
2020-02-13,,cash_interest,2152.9436399785295
2020-02-14,,cash_interest,2153.2437249310883
2020-02-17,,cash_interest,6460.631555131668
2020-02-18,,cash_interest,2154.444357547179
2020-02-19,,cash_interest,2154.744651675098
2020-02-20,,cash_interest,2155.0449876590815
2020-02-24,,cash_interest,8621.381462019855
2020-02-25,,cash_interest,2156.54704435943
2020-02-26,,cash_interest,2156.8476315673256
2020-02-27,,cash_interest,2157.1482606721365
2020-02-28,,cash_interest,2157.4489316797026
2020-02-28,HINDALCO,premium,1400.0
2020-02-28,HINDALCO,option_sale_costs,-25.127651999999998
2020-02-28,TATASTEEL,premium,8400.0
2020-02-28,TATASTEEL,option_sale_costs,-32.765912
2020-02-28,VEDL,premium,6825.0
2020-02-28,VEDL,option_sale_costs,-31.0473035
2020-03-02,,cash_interest,6480.163498239918
2020-03-03,,cash_interest,2117.005865102488
2020-03-04,,cash_interest,2117.29493935336
2020-03-05,,cash_interest,2117.5840530769246
2020-03-05,VEDL,dividend,40950.0
2020-03-06,,cash_interest,2123.4648726826817
2020-03-09,,cash_interest,6371.264486706571
2020-03-11,,cash_interest,4249.249632680181
2020-03-12,,cash_interest,2125.205045556543
2020-03-13,,cash_interest,2125.495239394274
2020-03-16,,cash_interest,6377.356418572728
2020-03-17,,cash_interest,2126.656292140428
2020-03-18,,cash_interest,2126.9466841438916
2020-03-19,,cash_interest,2127.237115799986
2020-03-20,,cash_interest,2127.527587114125
