symbol,exit_reason,removal_date,decision_date,position_before_exit,cancelled_orders,fill_date,exit_action,exit_price,realized_pnl,transaction_cost,cash_before,cash_after,position_after_exit,nav_after,available_liquidity_after,margin_utilization_after,residual,data_unavailable
VEDL,UNIVERSE_REMOVAL,2020-07-31,2020-07-31,10500 shares,,2020-08-03,sell shares,115.2424,-228980.3249999998,1272.5038146445002,18090388.364646927,19299160.535832282,flat,21267608.035832282,13572560.535832282,0.3155420082358773,False,
GAIL,UNIVERSE_REMOVAL,2021-03-31,2021-03-31,12200 shares; short CE K=135 x12200 exp 2021-04-29,,2021-04-01,buy back CE + sell shares,8.4562|140.0799,98331.08500000002,1971.78097264545,2713996.605418929,4317918.809871707,flat,25305438.809871707,4317918.809871707,0.41468397678630103,False,
IOC,UNIVERSE_REMOVAL,2022-03-31,2022-03-31,19500 shares,,2022-04-01,sell shares,122.0389,234759.525,2494.78765150225,16395721.448482083,18772986.185830582,flat,31433722.435830582,18772986.185830582,0.20138779738616505,False,
UPL,UNIVERSE_REMOVAL,2024-03-28,2024-03-28,3900 shares,,2024-04-01,sell shares,465.9669,-1019784.0900000001,1905.94869484396,15182885.533709196,16998250.49501435,flat,43633489.245014355,16998250.49501435,0.3052155490068147,False,
