trade_id,cycle_id,date,symbol,sector,instrument,expiry,exit_date,strike,lots,lot_size,quantity,entry_quote,entry_premium,exit_price,status,assigned_or_exercised,underlying_entry,underlying_exit,premium_inr,option_pnl,stock_pnl,transaction_costs,margin_requirement,leveraged_capital_requirement,total_pnl,exit_reason
3,3,2020-01-01,ONGC,Oil Gas & Consumable Fuels,PE,2020-01-30,2020-01-30,122.5,1.0,4100.0,4100,1.8,1.7,6.900000000000006,assigned,True,127.45,115.6,6970.0,-21320.000000000022,0.0,2091.0231796000003,502250.0,251125.0,-23411.023179600023,CONTRACT_EXPIRY
1,1,2020-01-01,TATASTEEL,Metals & Mining,PE,2020-01-30,2020-01-30,450.0,2.0,1500.0,3000,8.95,8.7262,1.4499999999999886,assigned,True,467.75,448.55,26178.600000000002,21828.600000000035,0.0,5588.758564748001,1350000.0,675000.0,16239.841435252034,CONTRACT_EXPIRY
4,4,2020-01-01,HINDALCO,Metals & Mining,PE,2020-01-30,2020-01-30,205.0,2.0,3500.0,7000,2.95,2.85,11.550000000000011,assigned,True,214.3,193.45,19950.0,-60900.00000000008,0.0,5930.562341000001,1435000.0,717500.0,-66830.56234100008,CONTRACT_EXPIRY
2,2,2020-01-01,VEDL,Metals & Mining,PE,2020-01-30,2020-01-30,145.0,3.0,3500.0,10500,2.2,2.1,4.050000000000011,assigned,True,154.6,140.95,22050.0,-20475.00000000012,0.0,6291.707069,1522500.0,761250.0,-26766.70706900012,CONTRACT_EXPIRY
5,4,2020-01-31,HINDALCO,Metals & Mining,CE,2020-02-27,2020-02-27,205.0,2.0,3500.0,7000,2.6,2.5,0.0,expired_otm,False,189.35,168.35,17500.0,17500.0,0.0,42.69565,0.0,0.0,17457.30435,CONTRACT_EXPIRY
10,3,2020-02-07,ONGC,Oil Gas & Consumable Fuels,CE,2020-02-27,2020-02-27,122.5,1.0,4100.0,4100,0.55,0.45,0.0,expired_otm,False,109.25,93.35,1845.0,1845.0,0.0,25.613227099999996,0.0,0.0,1819.3867729,CONTRACT_EXPIRY
6,1,2020-01-31,TATASTEEL,Metals & Mining,CE,2020-02-27,2020-02-27,470.0,2.0,1500.0,3000,9.35,9.1162,0.0,expired_otm,False,438.7,412.8,27348.6,27348.6,0.0,53.44224534800001,0.0,0.0,27295.157754652,CONTRACT_EXPIRY
7,2,2020-01-31,VEDL,Metals & Mining,CE,2020-02-27,2020-02-27,150.0,3.0,3500.0,10500,3.1,3.0,0.0,expired_otm,False,137.9,130.55,31500.0,31500.0,0.0,57.97217,0.0,0.0,31442.02783,CONTRACT_EXPIRY
9,6,2020-02-04,BAJFINANCE,Financial Services,PE,2020-02-27,2020-02-27,4100.0,1.0,250.0,250,15.05,14.6738,0.0,expired_otm,False,4519.25,4759.8,3668.45,3668.45,0.0,27.602939271,1025000.0,512500.0,3640.8470607289996,CONTRACT_EXPIRY
8,5,2020-02-04,DRREDDY,Healthcare,PE,2020-02-27,2020-02-27,3000.0,2.0,250.0,500,15.0,14.625,0.0,expired_otm,False,3241.85,3067.05,7312.5,7312.5,0.0,31.57925375,1500000.0,750000.0,7280.92074625,CONTRACT_EXPIRY
