symbol,cycle_id,cycle_status,end,shares_assigned,shares_ca_delta,shares_called_away,shares_sold,shares_held_at_end,ledger_shares_open,call_covered_at_end,uncovered_at_end,max_uncovered_at_call,residual_after_call_away,status
HDFCLIFE,322,completed,2024-07-25,5500,0,5500,0,0,0,0,0,0,0,FLAT
HINDALCO,337,completed,2024-04-25,7000,0,7000,0,0,0,0,0,0,0,FLAT
ULTRACEMCO,343,completed,2024-06-27,400,0,400,0,0,0,0,0,0,0,FLAT
DIVISLAB,345,completed,2024-04-25,1000,0,1000,0,0,0,0,0,0,0,FLAT
M&M,347,completed,2024-02-29,2450,0,2450,0,0,0,0,0,0,0,FLAT
JSWSTEEL,348,completed,2024-04-25,4725,0,4725,0,0,0,0,0,0,0,FLAT
TATASTEEL,353,completed,2024-02-29,27500,0,27500,0,0,0,0,0,0,0,FLAT
KOTAKBANK,354,completed,2024-09-26,2000,0,2000,0,0,0,0,0,0,0,FLAT
TATACONSUM,365,completed,2024-07-25,3600,0,3600,0,0,0,0,0,0,0,FLAT
BAJAJ-AUTO,374,completed,2024-06-27,375,0,375,0,0,0,0,0,0,0,FLAT
ADANIPORTS,377,completed,2024-05-30,3200,0,3200,0,0,0,0,0,0,0,FLAT
DRREDDY,385,completed,2024-06-27,625,0,625,0,0,0,0,0,0,0,FLAT
AXISBANK,399,completed,2024-09-26,3750,0,3750,0,0,0,0,0,0,0,FLAT
RELIANCE,404,open,,1500,1500,0,0,3000,3000,0,3000,0,0,OPEN_AT_END
JSWSTEEL,409,completed,2024-08-29,4725,0,4725,0,0,0,0,0,0,0,FLAT
TATAMOTORS,430,terminated,2025-10-13,4400,0,0,4400,0,0,0,0,2200,0,FLAT
M&M,441,completed,2025-05-29,1400,0,1400,0,0,0,0,0,0,0,FLAT
TATASTEEL,444,completed,2025-05-29,27500,0,27500,0,0,0,0,0,22000,0,FLAT
SHRIRAMFIN,445,completed,2025-06-26,1200,4800,6000,0,0,0,0,0,0,0,FLAT
BHARTIARTL,449,completed,2025-03-27,2850,0,2850,0,0,0,0,0,0,0,FLAT
BAJFINANCE,451,completed,2025-01-30,625,0,625,0,0,0,0,0,0,0,FLAT
ULTRACEMCO,453,completed,2024-12-26,400,0,400,0,0,0,0,0,300,0,FLAT
AXISBANK,454,completed,2025-10-28,3750,0,3750,0,0,0,0,0,625,0,FLAT
SUNPHARMA,455,open,,2450,0,0,0,2450,2450,0,2450,0,0,OPEN_AT_END
DRREDDY,462,completed,2026-04-28,3125,0,3125,0,0,0,0,0,1250,0,FLAT
ADANIPORTS,463,completed,2025-03-27,3600,0,3600,0,0,0,0,0,0,0,FLAT
BEL,465,completed,2025-03-27,14250,0,14250,0,0,0,0,0,0,0,FLAT
LT,474,completed,2025-05-29,1350,0,1350,0,0,0,0,0,0,0,FLAT
