symbol,cycle_id,cycle_status,end,shares_assigned,shares_ca_delta,shares_called_away,shares_sold,shares_held_at_end,ledger_shares_open,call_covered_at_end,uncovered_at_end,max_uncovered_at_call,residual_after_call_away,status
TATASTEEL,1,uncoverable_odd_lot,2020-06-25,1500,0,0,1500,0,0,0,0,0,0,FLAT
VEDL,2,uncoverable_odd_lot,2020-06-25,3500,0,0,3500,0,0,0,0,0,0,FLAT
ONGC,3,uncoverable_odd_lot,2020-06-25,4100,0,0,4100,0,0,0,0,0,0,FLAT
HINDALCO,4,uncoverable_odd_lot,2020-06-25,3500,0,0,3500,0,0,0,0,0,0,FLAT
UPL,8,completed,2020-06-25,1800,0,1800,0,0,0,0,0,0,0,FLAT
COALINDIA,12,completed,2020-06-25,5400,0,5400,0,0,0,0,0,0,0,FLAT
HDFCBANK,13,completed,2020-06-25,1000,0,1000,0,0,0,0,0,0,0,FLAT
HEROMOTOCO,40,completed,2020-11-26,300,0,300,0,0,0,0,0,0,0,FLAT
M&M,43,completed,2020-11-26,1400,0,1400,0,0,0,0,0,0,0,FLAT
MARUTI,44,completed,2020-10-29,100,0,100,0,0,0,0,0,0,0,FLAT
BAJFINANCE,45,completed,2020-11-26,250,0,250,0,0,0,0,0,0,0,FLAT
ICICIBANK,46,completed,2020-10-29,2750,0,2750,0,0,0,0,0,0,0,FLAT
TATASTEEL,48,completed,2020-10-29,1700,0,1700,0,0,0,0,0,0,0,FLAT
KOTAKBANK,49,completed,2020-10-29,400,0,400,0,0,0,0,0,0,0,FLAT
EICHERMOT,50,completed,2020-10-29,350,0,350,0,0,0,0,0,0,0,FLAT
SUNPHARMA,51,completed,2020-11-26,1400,0,1400,0,0,0,0,0,0,0,FLAT
ASIANPAINT,69,completed,2021-05-27,300,0,300,0,0,0,0,0,0,0,FLAT
TITAN,70,completed,2021-04-29,750,0,750,0,0,0,0,0,0,0,FLAT
BAJFINANCE,75,completed,2021-02-25,250,0,250,0,0,0,0,0,0,0,FLAT
COALINDIA,91,completed,2021-05-27,4200,0,4200,0,0,0,0,0,0,0,FLAT
ONGC,93,completed,2021-06-24,7700,0,7700,0,0,0,0,0,0,0,FLAT
BPCL,94,completed,2021-05-27,1800,0,1800,0,0,0,0,0,0,0,FLAT
GAIL,96,universe_removal_sale,2021-04-01,6100,0,0,6100,0,0,0,0,0,0,FLAT
INDUSINDBK,97,completed,2021-05-27,900,0,900,0,0,0,0,0,0,0,FLAT
RELIANCE,100,completed,2021-06-24,500,0,500,0,0,0,0,0,0,0,FLAT
SBIN,101,completed,2021-05-27,3000,0,3000,0,0,0,0,0,0,0,FLAT
HDFCLIFE,103,completed,2021-06-24,1100,0,1100,0,0,0,0,0,0,0,FLAT
JSWSTEEL,105,completed,2021-07-29,1350,0,1350,0,0,0,0,0,0,0,FLAT
M&M,129,completed,2021-10-28,1400,0,1400,0,0,0,0,0,0,0,FLAT
MARUTI,133,completed,2021-09-30,100,0,100,0,0,0,0,0,0,0,FLAT
TCS,135,completed,2021-08-26,300,0,300,0,0,0,0,0,0,0,FLAT
HDFCLIFE,138,completed,2021-08-26,1100,0,1100,0,0,0,0,0,0,0,FLAT
HINDUNILVR,139,completed,2021-08-26,300,0,300,0,0,0,0,0,0,0,FLAT
HINDALCO,142,completed,2021-09-30,2150,0,2150,0,0,0,0,0,0,0,FLAT
JSWSTEEL,144,completed,2022-03-31,1350,0,1350,0,0,0,0,0,0,0,FLAT
COALINDIA,165,completed,2022-03-31,4200,0,4200,0,0,0,0,0,0,0,FLAT
ICICIBANK,176,completed,2022-01-27,1375,0,1375,0,0,0,0,0,0,0,FLAT
BHARTIARTL,177,residual_after_call_away,2022-01-28,1886,0,950,936,0,0,0,0,936,936,FLAT
DRREDDY,184,completed,2023-04-27,250,0,250,0,0,0,0,0,0,0,FLAT
TITAN,185,completed,2022-03-31,375,0,375,0,0,0,0,0,0,0,FLAT
INFY,186,completed,2022-03-31,600,0,600,0,0,0,0,0,0,0,FLAT
ASIANPAINT,188,residual_after_call_away,2022-07-29,300,0,200,100,0,0,0,0,100,100,FLAT
MARUTI,189,completed,2022-06-30,100,0,100,0,0,0,0,0,0,0,FLAT
AXISBANK,190,completed,2022-03-31,1200,0,1200,0,0,0,0,0,0,0,FLAT
SBIN,191,completed,2022-07-28,1500,0,1500,0,0,0,0,0,0,0,FLAT
IOC,193,universe_removal_sale,2022-04-01,6500,0,0,6500,0,0,0,0,0,0,FLAT
CIPLA,194,completed,2022-03-31,1300,0,1300,0,0,0,0,0,0,0,FLAT
