date,starting_cash,starting_nav,assigned_stock_value,n_assigned_stocks,assignments_today,open_put_exposure,covered_call_exposure,gross_exposure,borrowed,uncovered_usable_shares,covered_call_opportunities,covered_call_lots_ordered,covered_call_lots_sold,covered_call_premium,cash_after_calls,margin_utilization_after_calls,breach,new_put_capacity,new_put_lots_decided,new_put_lots_attempted,new_put_lots_executed,new_put_lots_rejected,rejection_reason
2019-12-31,20000000.0,20000000.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,20000000.0,0.0,False,20000000.0,4,0,0,0,
2020-01-01,20002728.95890411,20002728.95890411,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,20002728.95890411,0.1181642169845725,False,17637728.065903638,0,4,4,0,
2020-01-02,20042764.17189529,20018914.17189529,0.0,0,0,2402250.0,0.0,2402250.0,0.0,0,0,0,0,0.0,20042764.17189529,0.11880764259127771,False,17640514.17189529,0,0,0,0,
2020-01-03,20045550.66523201,20016080.66523201,0.0,0,0,2402250.0,0.0,2402250.0,0.0,0,0,0,0,0.0,20045550.66523201,0.11854368693275331,False,17643300.66523201,0,0,0,0,
2020-01-06,20053911.307438917,20000561.307438917,0.0,0,0,2402250.0,0.0,2402250.0,0.0,0,0,0,0,0.0,20053911.307438917,0.11744170395489655,False,17651661.307438917,0,0,0,0,
2020-01-07,20056699.35053288,20012529.35053288,0.0,0,0,2402250.0,0.0,2402250.0,0.0,0,0,0,0,0.0,20056699.35053288,0.11783018321655632,False,17654449.35053288,0,0,0,0,
2020-01-08,20059487.781241216,20009922.781241216,0.0,0,0,2402250.0,0.0,2402250.0,0.0,0,0,0,0,0.0,20059487.781241216,0.11757591599531715,False,17657237.781241216,0,0,0,0,
2020-01-09,20062276.599617817,20026976.599617817,0.0,0,0,2402250.0,0.0,2402250.0,0.0,0,0,0,0,0.0,20062276.599617817,0.11818808436841982,False,17660026.599617817,0,0,0,0,
2020-01-10,20065065.805716578,20034495.805716578,0.0,0,0,2402250.0,0.0,2402250.0,0.0,0,0,0,0,0.0,20065065.805716578,0.11837981963705184,False,17662815.805716578,0,0,0,0,
2020-01-13,20073434.58734105,20046734.58734105,0.0,0,0,2402250.0,0.0,2402250.0,0.0,0,0,0,0,0.0,20073434.58734105,0.1185005961769002,False,17671184.58734105,0,0,0,0,
2020-01-14,20076225.344705805,20054845.344705805,0.0,0,0,2402250.0,0.0,2402250.0,0.0,0,0,0,0,0.0,20076225.344705805,0.11871794367282498,False,17673975.344705805,0,0,0,0,
2020-01-15,20079016.49006229,20059281.49006229,0.0,0,0,2402250.0,0.0,2402250.0,0.0,0,0,0,0,0.0,20079016.49006229,0.11877369591629384,False,17676766.49006229,0,0,0,0,
2020-01-16,20081808.02346445,20059438.02346445,0.0,0,0,2402250.0,0.0,2402250.0,0.0,0,0,0,0,0.0,20081808.02346445,0.11864140945604482,False,17679558.02346445,0,0,0,0,
2020-01-17,20084599.94496623,20064364.94496623,0.0,0,0,2402250.0,0.0,2402250.0,0.0,0,0,0,0,0.0,20084599.94496623,0.1187186839221444,False,17682349.94496623,0,0,0,0,
2020-01-20,20092976.873932317,20065811.873932317,0.0,0,0,2402250.0,0.0,2402250.0,0.0,0,0,0,0,0.0,20092976.873932317,0.11836475966793525,False,17690726.873932317,0,0,0,0,
2020-01-21,20095770.348210312,20067375.348210312,0.0,0,0,2402250.0,0.0,2402250.0,0.0,0,0,0,0,0.0,20095770.348210312,0.11829424420526971,False,17693520.348210312,0,0,0,0,
2020-01-22,20098564.210857764,20049714.210857764,0.0,0,0,2402250.0,0.0,2402250.0,0.0,0,0,0,0,0.0,20098564.210857764,0.11737823169197768,False,17696314.210857764,0,0,0,0,
