symbol,exit_reason,removal_date,decision_date,position_before_exit,cancelled_orders,fill_date,exit_action,exit_price,realized_pnl,transaction_cost,cash_before,cash_after,position_after_exit,nav_after,available_liquidity_after,margin_utilization_after,residual,data_unavailable
VEDL,UNIVERSE_REMOVAL,2020-07-31,2020-07-31,short PE K=105 x6200 exp 2020-08-27,,2020-08-03,buy back PE,1.7500,2170.0000000000005,68.1328833,20843189.426739715,20832309.093338214,flat,20664835.343338214,14057209.093338214,0.3197521848210671,False,
GAIL,UNIVERSE_REMOVAL,2021-03-31,2021-03-31,6100 shares; short CE K=135 x6100 exp 2021-04-29,,2021-04-01,buy back CE + sell shares,8.4562|140.0799,49165.54250000001,1017.1604863227251,14113378.534151752,14915320.16637814,flat,22517950.16637814,14915320.16637814,0.33762531419718617,False,
IOC,UNIVERSE_REMOVAL,2022-03-31,2022-03-31,6500 shares,,2022-04-01,sell shares,122.0389,78253.175,841.8225505007501,19737840.176642112,20530251.52909161,flat,25359879.02909161,20530251.52909161,0.1904436332073859,False,
UPL,UNIVERSE_REMOVAL,2024-03-28,2024-03-28,1300 shares,,2024-04-01,sell shares,465.9669,-339928.03,645.5428982813202,22852978.704966716,23458090.132068433,flat,31661102.632068433,23458090.132068433,0.25908802341240805,False,
BRITANNIA,UNIVERSE_REMOVAL,2025-03-28,2025-03-28,300 shares; short CE K=5000 x300 exp 2025-04-24,,2025-04-01,buy back CE + sell shares,81.9488|4898.3496,39564.240000000085,1639.96701333104,21109495.23038273,22552840.983445454,flat,33528938.483445454,22552840.983445454,0.3273619147059883,False,
