date,symbol,mark_value
2020-01-01,TATASTEEL,-13424.999999999998
2020-01-01,VEDL,-7700.000000000001
2020-01-01,ONGC,-7380.0
2020-01-01,HINDALCO,-10325.0
2020-01-02,TATASTEEL,-7875.0
2020-01-02,VEDL,-4725.0
2020-01-02,ONGC,-5125.0
2020-01-02,HINDALCO,-6125.0
2020-01-03,TATASTEEL,-8325.0
2020-01-03,VEDL,-5600.0
2020-01-03,ONGC,-6970.0
2020-01-03,HINDALCO,-8575.0
2020-01-06,TATASTEEL,-11475.0
2020-01-06,VEDL,-12425.0
2020-01-06,ONGC,-12300.0
2020-01-06,HINDALCO,-17150.0
2020-01-07,TATASTEEL,-9825.0
2020-01-07,VEDL,-7350.0
2020-01-07,ONGC,-11070.0
2020-01-07,HINDALCO,-15925.0
2020-01-08,TATASTEEL,-9750.0
2020-01-08,VEDL,-6825.0
2020-01-08,ONGC,-14965.0
2020-01-08,HINDALCO,-18025.0
2020-01-09,TATASTEEL,-6524.999999999999
2020-01-09,VEDL,-5250.0
2020-01-09,ONGC,-11275.0
2020-01-09,HINDALCO,-12250.0
2020-01-10,TATASTEEL,-5475.0
2020-01-10,VEDL,-4375.0
2020-01-10,ONGC,-10045.0
2020-01-10,HINDALCO,-10675.0
2020-01-13,TATASTEEL,-3975.0
2020-01-13,VEDL,-3850.0000000000005
2020-01-13,ONGC,-8200.0
2020-01-13,HINDALCO,-10675.0
2020-01-14,TATASTEEL,-2625.0
2020-01-14,VEDL,-2275.0
2020-01-14,ONGC,-7380.0
2020-01-14,HINDALCO,-9100.0
2020-01-15,TATASTEEL,-2700.0
2020-01-15,VEDL,-2275.0
2020-01-15,ONGC,-7585.0
2020-01-15,HINDALCO,-7174.999999999999
2020-01-16,TATASTEEL,-2475.0
2020-01-16,VEDL,-1750.0
2020-01-16,ONGC,-7995.0
2020-01-16,HINDALCO,-10150.0
2020-01-17,TATASTEEL,-1950.0
2020-01-17,VEDL,-2450.0
2020-01-17,ONGC,-6560.0
2020-01-17,HINDALCO,-9275.0
2020-01-20,TATASTEEL,-1650.0000000000002
