rank_final_gt,n,ex_2pct,ex_3pct,ex_4pct,ex_5pct,ex_6pct,ex_7pct
-6.0,3907,33.068850780650116,28.3849500895828,24.033785513181467,20.60404402354748,16.841566419247506,13.872536472997185
-5.75,3899,33.111054116440116,28.417542959733268,24.083098230315468,20.646319569120287,16.87612208258528,13.90100025647602
-5.5,3886,33.17035512094699,28.461142563046838,24.112197632527018,20.663921770458053,16.881111682964487,13.896037056098818
-5.25,3872,33.135330578512395,28.40909090909091,24.04442148760331,20.583677685950413,16.787190082644628,13.817148760330578
-5.0,3859,33.11738792433273,28.375226742679448,23.99585384814719,20.523451671417465,16.7141746566468,13.760041461518528
-4.75,3847,33.1427086041071,28.411749415128675,24.018715882505848,20.56147647517546,16.74031713023135,13.776969066805304
-4.5,3833,33.13331594051657,28.385076963214196,24.002087138012,20.55830941821028,16.723193321158362,13.749021654056875
-4.25,3813,33.25465512719643,28.481510621557828,24.075531077891423,20.61369000786782,16.758457907159716,13.768686073957515
-4.0,3782,33.26282390269699,28.476996298254893,24.061343204653625,20.624008461131677,16.763617133791644,13.749338974087784
-3.75,3759,33.35993615323225,28.57142857142857,24.12875764831072,20.670391061452513,16.81298217611067,13.806863527533919
-3.5,3731,33.39587242026266,28.57142857142857,24.122219244170466,20.637898686679172,16.805146073438756,13.85687483248459
-3.25,3690,33.360433604336045,28.48238482384824,24.065040650406505,20.542005420054203,16.693766937669377,13.766937669376695
-3.0,3648,33.33333333333333,28.50877192982456,24.040570175438596,20.531798245614034,16.639254385964914,13.678728070175438
-2.75,3577,33.43584008946044,28.57142857142857,24.070450097847356,20.54794520547945,16.60609449259156,13.64271736091697
-2.5,3515,33.627311522048366,28.733997155049785,24.182076813655762,20.62588904694168,16.69985775248933,13.684210526315791
-2.25,3420,33.74269005847953,28.771929824561404,24.269005847953213,20.672514619883042,16.812865497076025,13.830409356725145
-2.0,3333,33.84338433843384,28.802880288028803,24.272427242724273,20.672067206720673,16.771677167716774,13.771377137713772
-1.75,3212,33.8107098381071,28.86052303860523,24.25280199252802,20.828144458281443,16.843088418430884,13.823163138231632
-1.5,3107,33.85902800128741,28.902478274863213,24.42870936594786,20.952687479884133,16.832957837141937,13.839716768587063
-1.25,2991,33.90170511534604,29.053828151120026,24.506853895018388,21.029755934470078,16.95085255767302,14.00869274490137
-1.0,2836,33.568406205923836,28.772919605077576,24.22425952045134,20.87447108603667,16.819464033850494,13.892806770098732
-0.75,2646,33.5978835978836,28.76039304610733,24.300831443688587,20.861678004535147,16.855631141345427,13.945578231292515
-0.5,2482,33.48106365834005,28.60596293311845,24.25463336019339,20.870265914585012,16.881547139403708,14.101531023368253
-0.25,2309,33.477695972282376,28.670420095279344,24.29623213512343,21.091381550454745,17.10697271546124,14.205283672585534
0.0,2111,33.633349123638084,28.84888678351492,24.44339175746092,21.127427759355754,17.100900047370914,14.116532449076265
0.25,1897,33.684765419082765,28.993147074327887,24.670532419609913,21.13863995782815,17.02688455455983,14.285714285714285
0.5,1697,33.70654095462581,28.99233942251031,24.572775486152032,20.978196817913965,16.853270477312904,14.437242192103714
0.75,1482,34.278002699055335,29.08232118758435,24.898785425101213,21.18758434547908,17.139001349527668,14.642375168690958
1.0,1307,34.50650344299924,29.380260137719972,25.095638867635806,21.882172915072687,17.82708492731446,15.225707727620504
1.25,1154,34.748700173310226,29.636048526863085,25.38994800693241,22.357019064124785,17.937608318890817,15.337954939341422
1.5,1006,33.69781312127236,28.628230616302186,24.353876739562626,21.07355864811133,16.79920477137177,14.512922465208748
1.75,849,33.80447585394582,28.857479387514722,24.499411071849234,21.20141342756184,17.196702002355714,14.840989399293287
2.0,734,33.787465940054496,28.47411444141689,24.65940054495913,21.117166212534062,17.166212534059948,14.986376021798364
2.25,612,33.82352941176471,28.921568627450984,24.673202614379086,21.405228758169933,17.647058823529413,15.196078431372548
2.5,512,33.59375,29.4921875,25.390625,21.6796875,17.96875,16.015625
2.75,414,34.29951690821256,31.40096618357488,27.294685990338163,23.42995169082126,20.048309178743963,17.874396135265698
3.0,342,34.50292397660819,32.45614035087719,28.654970760233915,24.853801169590643,21.929824561403507,19.5906432748538
3.25,281,34.87544483985765,32.38434163701068,28.46975088967972,24.199288256227756,20.99644128113879,18.14946619217082
3.5,235,35.74468085106383,33.61702127659574,31.06382978723404,26.382978723404253,23.404255319148938,20.0
3.75,196,35.204081632653065,33.6734693877551,30.612244897959183,26.53061224489796,22.95918367346939,19.387755102040817
4.0,176,33.52272727272727,32.38636363636363,29.545454545454547,26.136363636363637,22.727272727272727,19.318181818181817
4.25,144,36.11111111111111,34.72222222222222,31.25,27.77777777777778,24.305555555555554,20.833333333333336
4.5,117,35.04273504273504,33.33333333333333,29.059829059829063,25.64102564102564,21.367521367521366,17.094017094017094
4.75,104,37.5,35.57692307692308,30.76923076923077,27.884615384615387,23.076923076923077,18.269230769230766
5.0,88,37.5,35.22727272727273,30.681818181818183,28.40909090909091,23.863636363636363,18.181818181818183
5.25,79,36.708860759493675,34.177215189873415,29.11392405063291,26.582278481012654,22.78481012658228,17.72151898734177
5.5,72,34.72222222222222,31.944444444444443,27.77777777777778,27.77777777777778,23.61111111111111,18.055555555555554
5.75,66,36.36363636363637,33.33333333333333,28.78787878787879,28.78787878787879,24.242424242424242,18.181818181818183
6.0,58,34.48275862068966,31.03448275862069,27.586206896551722,27.586206896551722,22.413793103448278,15.517241379310345
6.25,53,33.9622641509434,32.075471698113205,28.30188679245283,28.30188679245283,22.641509433962266,15.09433962264151
